method,metric,count,mean,std,median,ci95_low,ci95_high,numerator,denominator
PLAIN_FM,collision,192,0.15104166666666666,0.3590256715191452,0.0,0.09895833333333333,0.203125,29,192
PLAIN_FM,success,192,0.0,0.0,0.0,0.0,0.0,0,192
PLAIN_FM,min_clearance,192,0.06607994498726234,0.0464402173933233,0.07224767368832588,0.05928166147403853,0.07255836706895644,,
PLAIN_FM,joint_limit_violation,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,velocity_violation,192,0.14108484804891042,0.11763174054450541,0.1586466596603393,0.12401920831063755,0.15844747071699541,,
PLAIN_FM,acceleration_violation,192,0.8694762855884619,0.8789335434094719,0.7180225849151611,0.7497669034443486,0.9970609678227144,,
PLAIN_FM,terminal_goal_error,192,0.581712007380709,0.2923704976123582,0.4567006790076434,0.5411215967019168,0.6225377457281007,,
PLAIN_FM,joint_path_length,192,2.504356476379772,0.7827261233815049,2.5244254456368838,2.3829356887149706,2.613079204821241,,
PLAIN_FM,ee_path_length,192,1.0447566795740133,0.3012859056275018,0.9875014884312825,1.0021412822430904,1.0887120772575656,,
PLAIN_FM,smoothness,192,0.04003616932472737,0.010699975704169517,0.04038679710003348,0.03848256196098904,0.04149907038566553,,
PLAIN_FM,acceleration_cost,192,40.036169324727375,10.699975704169516,40.386797100033476,38.50059892136028,41.573521722160116,,
PLAIN_FM,jerk_cost,192,9049.44146281124,3154.600347029907,8821.393786773053,8612.459263710876,9504.244744114929,,
PLAIN_FM,reference_distance,192,0.10401867229297433,0.026593224595723264,0.09725472159619047,0.10033570274986069,0.10772401855700188,,
PLAIN_FM,trajectory_distortion_vs_plain,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,planning_latency_sec,192,0.07130578445442855,0.001695565242705703,0.07106381098856218,0.07111215841172604,0.07158755713304951,,
PLAIN_FM,fm_latency_sec,192,0.04446030527681918,0.0005220493419704523,0.044383987406035885,0.04438792784197479,0.04453350924273612,,
PLAIN_FM,projection_latency_sec,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,projection_solver_latency_sec,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,projection_calls,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,failed_projection_solves,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,projection_correction_sum,192,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,final_correction_magnitude,192,0.0,0.0,0.0,0.0,0.0,,
FINAL_PROJECTION,collision,192,0.03125,0.174447519824086,0.0,0.010416666666666666,0.057291666666666664,6,192
FINAL_PROJECTION,success,192,0.0,0.0,0.0,0.0,0.0,0,192
FINAL_PROJECTION,min_clearance,192,0.1676789703870866,0.13180080993838264,0.17151232322352336,0.14920067894613567,0.18664098412492716,,
FINAL_PROJECTION,joint_limit_violation,192,0.0,0.0,0.0,0.0,0.0,,
FINAL_PROJECTION,velocity_violation,192,0.00017369255696733643,0.001963127910576843,0.0,0.0,0.0004844323955476247,,
FINAL_PROJECTION,acceleration_violation,192,0.0020724162459373474,0.028716241859157148,0.0,0.0,0.006217248737812042,,
FINAL_PROJECTION,terminal_goal_error,192,0.94630228224778,0.3529915411864933,0.9862344998772236,0.8956630318326769,0.9971794785599319,,
FINAL_PROJECTION,joint_path_length,192,1.4513716069074587,0.42833606611008046,1.4836829192742036,1.3916322623218083,1.5101851625381133,,
FINAL_PROJECTION,ee_path_length,192,0.7437181054556232,0.2887854299194004,0.6681300910329945,0.7050885572536125,0.7834357559498977,,
FINAL_PROJECTION,smoothness,192,0.011717599648320776,0.005749245844711199,0.011714863936205282,0.010951546856860641,0.012576763948311148,,
FINAL_PROJECTION,acceleration_cost,192,11.717599648320773,5.749245844711199,11.714863936205283,10.9108205303793,12.509154610665176,,
FINAL_PROJECTION,jerk_cost,192,237.8764438293159,189.88766334050663,202.32591261529143,214.50028154104098,269.7345226463814,,
FINAL_PROJECTION,reference_distance,192,0.6448836352839576,0.2428743359016429,0.6390166279201934,0.6138728510475057,0.6794194801875616,,
FINAL_PROJECTION,trajectory_distortion_vs_plain,192,3.174426568672061,1.342645054209999,3.131194591522217,2.9972528322134164,3.3654531649003427,,
FINAL_PROJECTION,planning_latency_sec,192,0.3864667073112287,0.16961744884466715,0.35642554849619046,0.3635169904141927,0.4102721613584208,,
FINAL_PROJECTION,fm_latency_sec,192,0.04349847281688805,0.000471631550514837,0.043495557009009644,0.043430755352399805,0.04356389757887579,,
FINAL_PROJECTION,projection_latency_sec,192,0.30491263954718306,0.16981983331548495,0.2748787500022445,0.2818550459121449,0.3278155688947057,,
FINAL_PROJECTION,projection_solver_latency_sec,192,0.026611126204746444,0.017845481634803442,0.024538761470466852,0.024099210514380805,0.02917881238851502,,
FINAL_PROJECTION,projection_calls,192,1.0,0.0,1.0,1.0,1.0,,
FINAL_PROJECTION,failed_projection_solves,192,0.015625,0.12434382748876188,0.0,0.0,0.036458333333333336,,
FINAL_PROJECTION,projection_correction_sum,192,3.174426555334715,1.3426450469850602,3.1311946059702964,2.986182389889702,3.3567936092149036,,
FINAL_PROJECTION,final_correction_magnitude,192,3.174426555334715,1.3426450469850602,3.1311946059702964,2.984875905338815,3.359470719446411,,
CURRENT_STATE_PROJECTION,collision,192,0.15104166666666666,0.3590256715191452,0.0,0.10416666666666667,0.20833333333333334,29,192
CURRENT_STATE_PROJECTION,success,192,0.0,0.0,0.0,0.0,0.0,0,192
