method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,final_correction_magnitude,trajectory_distortion_vs_plain
POV_ENDPOINT_PROJECTION,0,2,0.0,0.0,0.05666280249604867,0.0,10.810432590675354,185.55042266845703,1.3420416457604636,17.423126798788978,6.385794024360502,56.53837058852608,56538.370588526086,16896895.585146744,1.8481548130483871,3.356511343922118,6.568812923971564,0.049094545014668256,6.437589865992777,0.7202648021047935,7.0,2.0,29.25923860967029,3.42141950880813,8.080445289611816
PLAIN_FM,0,3,0.0,0.0,0.07206453917989504,0.0,0.2089800056457518,2.84456729888916,0.45921352991696374,3.2012565841264995,0.9058163467177829,0.04113670616714238,41.13670616714238,7680.173216384212,0.12849558717346254,1.4480022872149885,0.0703546489821747,0.04376419394975528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,3,0.0,0.0,0.3432947055563953,0.0,0.0,0.0,1.0555576289126838,1.6823633374217009,0.35436520315993675,0.014682747666246457,14.682747666246456,192.06859905453211,0.6321380381636178,2.361101907526394,0.44035947002703324,0.042803218064364046,0.35976327396929264,0.029017398017458618,1.0,0.0,3.386672848672454,3.386672848672454,3.3866727352142334
CURRENT_STATE_PROJECTION,0,3,0.0,0.0,0.05948938609885869,0.0,0.13467685546874986,1.6523313522338867,0.5436982092806159,2.8565938145513217,0.7989917506312983,0.04057755678449271,40.577556784492714,8843.902882474387,0.19411417478767223,1.7063449924194034,4.782435290981084,0.04862043907633051,4.652629557065666,0.49830193899106234,7.0,4.0,18.74732807947314,0.0,0.9626033902168274
POV_ENDPOINT_PROJECTION,0,3,1.0,0.0,-0.021215398805207952,0.0,12.575714678049087,237.0288473367691,1.0939159426197964,17.655450908403083,7.773724581226247,67.94488470892546,67944.88470892549,21464378.421725344,1.9304268432310305,2.9149893533269338,6.977671037020627,0.04808506910922006,6.8477071900852025,0.7371661629294977,7.0,3.0,30.506615165223863,2.754888342941297,8.383553504943848
PLAIN_FM,0,4,0.0,0.0,0.07344253612534968,0.0,0.31594977941513047,1.2879979610443115,0.4554710032326637,3.227788364615522,0.8601428529939373,0.04661211657227504,46.61211657227504,10484.056012830557,0.15879118864958097,1.4085414392819284,0.07045615295646712,0.043824936903547496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,4,0.0,0.0,0.31576454066046156,0.0,0.0,0.0,0.8413109269886762,1.9701194304802618,0.3388895876146471,0.02035368947526961,20.353689475269608,261.7066993912542,0.4893598639821148,2.269697787367428,0.440219086012803,0.042988605971913785,0.35919878602726385,0.02894051600014791,1.0,0.0,2.734072728612426,2.734072728612426,2.734072685241699
CURRENT_STATE_PROJECTION,0,4,0.0,0.0,0.05251577152590216,0.0,0.15199796524047837,3.8120102882385254,0.5933576049104567,2.647714288258913,0.7623624029675341,0.049483308925208025,49.48330892520803,11547.895626449377,0.2842176526068215,1.8624754429737695,4.770814740040805,0.048590982041787356,4.641102593916003,0.5040292801568285,7.0,4.0,21.03073429527923,0.0,1.616729497909546
POV_ENDPOINT_PROJECTION,0,4,1.0,0.0,-0.06354879293541055,0.0,12.315282386207581,227.52448439598083,1.3680887466110379,19.492949709325647,9.252460045115036,80.7819170326023,80781.9170326023,25399734.08334772,1.9344053319328776,2.821451634843937,7.609173728036694,0.048696577083319426,7.47752951196162,0.84552884491859,7.0,5.0,29.546919338495123,4.899610222117705,8.296666145324707
PLAIN_FM,0,5,0.0,0.0,0.06871894711325184,0.0,0.4044778760910033,0.9894442558288574,0.45396397892630014,3.2318001489384773,0.9142575046786916,0.04543701543915146,45.43701543915146,8801.735405676902,0.1358455085866821,1.385202283025336,0.07084523397497833,0.04431959899375215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,5,0.0,0.0,0.23915015999391057,0.0,0.0,0.0,0.7444081204039407,2.2040194264669504,0.48522098691804527,0.02519081498984585,25.190814989845848,326.7786519148663,0.5733121621148825,2.0140892903975693,0.540407408028841,0.04321900993818417,0.459023708011955,0.044927095994353294,1.0,0.0,3.0133191283406284,3.0133191283406284,3.013319253921509
CURRENT_STATE_PROJECTION,0,5,1.0,0.0,-0.01861823964996146,0.0,0.21799908246994004,3.047151565551758,0.5243557128624665,2.271315239547391,0.7097308696386135,0.09868096673489823,98.68096673489825,29010.445730955325,0.5511252631885788,2.0259678941085015,7.840312231041025,0.05014570301864296,7.707856871013064,0.8539543150109239,7.0,7.0,22.59785020572013,0.0,2.7986652851104736
POV_ENDPOINT_PROJECTION,0,5,0.0,0.0,0.11111507355023345,0.0,15.359319009017945,228.88876914978027,1.0627119698354548,19.619203487562945,6.738849717415242,75.1249496531019,75124.94965310191,21875375.701525807,2.0466631272118923,2.8746030752589644,6.33736519300146,0.04806830792222172,6.207211945031304,0.6719024550984614,7.0,2.0,31.407856892348885,3.178572163550702,8.717201232910156
PLAIN_FM,0,6,0.0,0.0,0.06484939355565979,0.0,0.2835099514961241,2.738626003265381,0.44167463901593484,3.2023848000459663,0.910502013088369,0.04454768841918677,44.54768841918678,8511.49543714107,0.14292172461080252,1.4344313955465378,0.07100429001729935,0.04421982797794044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,6,0.0,0.0,0.3814229798642027,0.0,0.0,0.0,1.3164287585201195,1.8862790731151482,0.721332767956544,0.0201298056193962,20.1298056193962,298.85821285840495,0.7427287056172636,2.7173868816195177,0.35146095894742757,0.04294786509126425,0.2705642390064895,0.023013593978248537,1.0,0.0,4.088886804151886,4.088886804151886,4.088886737823486
CURRENT_STATE_PROJECTION,0,6,0.0,0.0,0.10901131117243797,0.0,0.08122460212707505,6.059272289276123,0.6838308591641755,2.559023803738794,0.758011170030605,0.06547883037987567,65.47883037987567,16419.74276873732,0.3468309804693366,2.0270161533668642,6.065270666964352,0.05024667695397511,5.933424464077689,0.6618234957568347,7.0,5.0,21.26855907289853,0.0,1.9100297689437866
POV_ENDPOINT_PROJECTION,0,6,0.0,0.0,0.1829062737073105,0.0,8.202255325126648,159.80774879455566,1.0682736339694214,16.8430048301195,5.515249849143949,52.91491450267672,52914.91450267673,15121155.191716857,2.0315937741162546,3.1114254843640783,7.330750336986966,0.04932645498774946,7.198890190047678,0.8071474073221907,7.0,4.0,29.496144318807318,1.7714577772988636,8.600441932678223
PLAIN_FM,0,7,0.0,0.0,0.06774255636681951,0.0,0.28606490459442124,0.2149057388305664,0.4510840570144335,3.2081582566018483,0.9275421565363855,0.04082554702899832,40.82554702899832,7358.138151546002,0.12441299199805718,1.3904349254506188,0.07060329196974635,0.04392679303418845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,7,0.0,0.0,0.3379260762625066,0.0,0.0,0.0,1.1448719219434245,1.7249366534171853,0.5000829260405917,0.015849098621051327,15.849098621051326,225.39464271957854,0.7435323223094026,2.3145487569382195,0.5360791180282831,0.04272187006426975,0.4554456930491142,0.04146100702928379,1.0,0.0,3.911034017978257,3.911034017978257,3.911034107208252
CURRENT_STATE_PROJECTION,0,7,1.0,0.0,-0.016393936796234444,0.0,0.0,6.3410115242004395,0.6923898657742446,2.235923662405113,0.6593008934817328,0.09572066101625953,95.72066101625954,28339.491767848653,0.47962698056397124,1.8982015936120495,7.241018080036156,0.049110375926829875,7.110270860022865,0.7841534859035164,7.0,6.0,19.562678394186005,0.0,2.5422699451446533
POV_ENDPOINT_PROJECTION,0,7,0.0,0.0,0.07382090945087115,0.0,13.977722090148927,248.47967147827148,1.5276808513359539,22.486925440125706,9.360832589169855,100.42659214378394,100426.59214378396,30003324.16744701,2.017233041245052,3.1764038750579076,6.811104274005629,0.048096812912262976,6.6816246380330995,0.737943343934603,7.0,3.0,28.163247377088418,2.538360152441327,8.518811225891113
PLAIN_FM,0,8,0.0,0.0,0.06493468607751472,0.0,0.33966855373382554,1.3835203647613525,0.4525520510612393,3.183833300789873,0.8632210541042896,0.04204791911927297,42.04791911927297,8486.41914696826,0.15207109830735113,1.4250701717156975,0.07031882600858808,0.043777659127954394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,8,0.0,0.0,0.3814229798642027,0.0,0.0,0.0,1.2384007264918508,1.2482083549573093,0.5859396347343134,0.008780932651195172,8.780932651195172,181.10206139603235,0.8976392259058118,2.9859954164606703,0.4449685689760372,0.04292348609305918,0.3642385500133969,0.03312297898810357,1.0,0.0,4.878810294115051,4.878810294115051,4.878810405731201
CURRENT_STATE_PROJECTION,0,8,0.0,0.0,0.029734772661781574,0.0,0.27136997547149644,9.534807205200195,0.7049740043201825,2.49417040976306,0.6872567644876746,0.16755505870799325,167.55505870799325,55113.62096284432,0.40661006668449196,1.7422911634729723,7.1142614260315895,0.049373027053661644,6.982744752021972,0.769810342870187,7.0,6.0,20.364465766295133,0.0,2.1799726486206055
POV_ENDPOINT_PROJECTION,0,8,1.0,0.0,-0.015641600055360277,0.0,12.30202363100052,226.39703273773193,1.5922494143147383,19.888200284660652,9.89605687052294,80.66781776465477,80667.81776465477,24267365.810740456,2.0420632539969725,3.662044110679702,6.767389938002452,0.04979886609362438,6.6349085890105926,0.7520425611874089,7.0,3.0,31.354950131748993,2.2229358121701215,8.896934509277344
PLAIN_FM,0,9,0.0,0.0,0.07364178948492252,0.0,0.265439536833763,2.3151707649230957,0.43765586741901186,3.256729275238188,0.8856193737404882,0.046621832619168274,46.62183261916827,9462.503938171189,0.19171428829971937,1.3980998517975012,0.07048143196152523,0.043997764121741056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,9,0.0,0.0,0.3778152494909337,0.0,0.0,0.0,1.0008956003792024,2.0765705655389497,0.48792257783816473,0.023262445728660267,23.262445728660268,322.94673716935904,0.5746987546783746,2.2004221561580044,0.4375838139676489,0.04278453305596486,0.35698901704745367,0.02623025799402967,1.0,0.0,3.302788656747886,3.302788656747886,3.302788734436035
CURRENT_STATE_PROJECTION,0,9,0.0,0.0,0.04641261381908808,0.0,0.15349970426559434,3.627605438232422,0.5841545655560566,2.6739498767770846,0.7706272553415313,0.048160211965831756,48.16021196583176,11156.989889335468,0.2829902001676486,1.85425208286538,4.440016458043829,0.04971806501271203,4.309068227012176,0.4573744180961512,7.0,3.0,17.403492112027184,0.0,1.6869151592254639
POV_ENDPOINT_PROJECTION,0,9,0.0,0.0,0.029328745321052035,0.0,11.414401786136628,185.56661427021027,1.2947442902531074,15.71345276681394,6.433696784497525,46.98653931994949,46986.5393199495,13639483.553127173,1.8224017574421423,3.3253464703953752,7.112909550021868,0.04874954005936161,6.982801980979275,0.7793978840927593,7.0,3.0,37.49011874159724,6.194071580869346,8.036194801330566
PLAIN_FM,0,10,0.0,0.0,0.05368686935653379,0.0,0.29797719087600694,1.0349345207214355,0.4259373115424244,3.2093802357701513,0.9072455304795978,0.03842669061557924,38.42669061557925,7829.268188754758,0.16294654301049677,1.3296472575301659,0.07075616001384333,0.044134673138614744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,10,0.0,0.0,0.21977764735585306,0.0,0.0,0.0,1.0382806448903315,1.4217559367981893,0.4758891981109861,0.010297992466153927,10.297992466153927,129.76097357790817,0.8700349617135253,2.605314089546495,0.4436683210078627,0.042972550028935075,0.3625405289931223,0.02964166906895116,1.0,0.0,4.4627998780577585,4.4627998780577585,4.462800025939941
CURRENT_STATE_PROJECTION,0,10,0.0,0.0,0.09306641231968081,0.0,0.018860858345031595,5.9255194664001465,0.6991606188772422,2.4371703529633995,0.7650080303426057,0.06992644471088916,69.92644471088916,17808.603400685108,0.41516462143582017,2.159045731471568,4.240821874991525,0.049117710965219885,4.110367763962131,0.44200760609237477,7.0,3.0,25.21775134214546,0.0,2.3052468299865723
POV_ENDPOINT_PROJECTION,0,10,0.0,0.0,0.10902838940098258,0.0,9.548923533821107,179.45886969566345,1.0821528644302159,16.321332092195515,7.293301178897143,48.18426167575633,48184.26167575634,14626289.170845568,2.0236252305655844,3.1867682459159554,6.931008861982264,0.049669225118122995,6.799199696921278,0.7492829606053419,7.0,4.0,33.770635714264785,3.9609791328863677,8.709716796875
PLAIN_FM,0,11,0.0,0.0,0.06351668339826581,0.0,0.32583491172790513,0.6984424591064453,0.45304711640195483,3.1507387576604042,0.904358574415116,0.05065303451605152,50.65303451605152,11360.561937820377,0.11579828414958314,1.4353376534200826,0.07066660898271948,0.04400352801894769,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINAL_PROJECTION,0,11,0.0,0.0,0.3814229798642027,0.0,0.0,0.0,1.198161858169939,1.734608952541036,0.7929202646711374,0.015109229697253257,15.109229697253255,216.28870162921922,0.8396638595922308,2.869315815639459,0.5412469729781151,0.04295305098639801,0.46025596401887015,0.04198475496377796,1.0,0.0,4.360615786715503,4.360615786715503,4.3606157302856445
CURRENT_STATE_PROJECTION,0,11,1.0,0.0,-0.020989659599109978,0.0,0.572010290288925,2.780711352825165,0.5712112448922221,2.765030480611624,0.7896491404959323,0.08648187655451822,86.48187655451822,23655.87994767415,0.2829057378733181,1.4617998400771346,7.868527569982689,0.05127469002036378,7.735507338948082,0.8754058160120621,7.0,7.0,15.878039553401184,0.0,1.365009069442749
