method,scenario_id,category,task_id,seed,severity,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,optimizer_latency_sec,trajectory_distortion_vs_plain,projection_failure_rate
L05_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,2,mild,0.0,0.0,0.00203016707251176,0.0,0.0019882735252378936,0.0,0.42492169759334375,2.5600119318210974,0.7366381778183019,0.034914464266731796,34.9144642667318,668.710228485249,0.31000943373403994,1.8019468753144876,0.5751366729964502,0.04525180102791637,0.4522446510964073,0.04807373700896278,3.0,0.0,4.892030498280225,0.4522446510964073,1.6040838956832886,0.0
L05_NO_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,2,mild,0.0,0.0,0.007525263338672664,0.0,0.05275602798461909,0.0,0.44378501732536146,2.8205977685453556,0.7792895565906897,0.02583862979622483,25.838629796224833,2122.7095405206414,0.1759877105149381,1.6070800442515822,0.5742356689879671,0.04507376597030088,0.45150263101095334,0.047947232029400766,3.0,0.0,4.892030498280225,0.45150263101095334,0.901003360748291,0.0
PLAIN_FM,ood_shifted_000,SHIFTED_OBSTACLE,0,3,mild,0.0,0.0,0.002021387668597871,0.0,0.2089800056457518,2.84456729888916,0.45921352991696374,3.2012565841264995,0.9058163467177829,0.04113670616714238,41.13670616714238,7680.173216384212,0.12849558717346254,1.4480022872149885,0.06893165898509324,0.043494114943314344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,3,mild,1.0,0.0,-0.004597516304947244,0.0,0.0,0.0,0.42103898816808444,2.480920058009221,0.7346398248632154,0.03120983190879531,31.20983190879531,585.0701897640059,0.3060031354973636,1.845792223335689,0.5735491499654017,0.044428400171454996,0.4516209450084716,0.04776048596249893,3.0,0.0,4.573604467087999,0.4516209450084716,1.6660900115966797,0.0
L05_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,3,mild,1.0,0.0,-0.00022883410760575484,0.0,0.0,0.0,0.42987845444755407,2.4888697019656427,0.738185302586608,0.03115704352750541,31.157043527505408,601.9884707035975,0.3038294614565006,1.84538448635219,0.5753149270312861,0.0451657110825181,0.45235589501680806,0.04764592385618016,3.0,0.0,4.765828851299165,0.45235589501680806,1.649035930633545,0.0
L05_NO_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,3,mild,0.0,0.0,0.0052067056147951235,0.0,0.043599542641639566,0.0,0.45044396867554953,2.7891813124091707,0.7941493800594421,0.02380804391533342,23.808043915333425,2080.772278094623,0.15624122738419846,1.6416216600035067,0.5742524499655701,0.04519832995720208,0.4516311649931595,0.04758758295793086,3.0,0.0,4.765828851299165,0.4516311649931595,0.9124974012374878,0.0
PLAIN_FM,ood_shifted_000,SHIFTED_OBSTACLE,0,4,mild,0.0,0.0,0.010230258202681038,0.0,0.31594977941513047,1.2879979610443115,0.4554710032326637,3.227788364615522,0.8601428529939373,0.04661211657227504,46.61211657227504,10484.056012830557,0.15879118864958097,1.4085414392819284,0.06946192297618836,0.04380617197602987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,4,mild,1.0,0.0,-0.007750490994835782,0.0,0.0,0.0,0.41895476489266886,2.4519117125014533,0.729383989015478,0.027632504022156463,27.632504022156464,521.2186540090205,0.32683685787532835,1.8197961999490717,0.6714585990412161,0.04475091688800603,0.5486635200213641,0.06018408801173791,3.0,0.0,4.793921039811481,0.5486635200213641,1.759393334388733,0.0
L05_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,4,mild,1.0,0.0,-0.0053474321184048546,0.0,0.0,0.0,0.42444709970448474,2.424627250551768,0.7273806305225954,0.024916182774262764,24.916182774262765,431.3837242094382,0.34090541054239676,1.8146186533061441,0.6737484089680947,0.04556950996629894,0.5498700319440104,0.06033016002038494,3.0,0.0,5.203595247741742,0.5498700319440104,1.8252452611923218,0.0
L05_NO_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,4,mild,0.0,0.0,0.009893736005630552,0.0,0.0013996776580809112,0.0,0.44254267591400764,2.763924003943811,0.7525218605096863,0.021809880995660502,21.809880995660507,2573.6193514992456,0.18428885937476125,1.5984361372464726,0.6754362740321085,0.045555041055195034,0.5512806389597245,0.06049040402285755,3.0,0.0,5.20359524776624,0.5512806389597245,1.0138887166976929,0.0
PLAIN_FM,ood_shifted_000,SHIFTED_OBSTACLE,0,5,mild,0.0,0.0,0.00012022705423397895,0.0,0.4044778760910033,0.9894442558288574,0.45396397892630014,3.2318001489384773,0.9142575046786916,0.04543701543915146,45.43701543915146,8801.735405676902,0.1358455085866821,1.385202283025336,0.06953003501985222,0.043962158029899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,5,mild,0.0,0.0,0.0008006074112264089,0.0,0.0,0.0,0.4261065978195224,2.409660184275034,0.7145170101149289,0.02590985789799923,25.90985789799923,459.55533491066,0.3285011837732045,1.835211685402654,0.5803825319744647,0.04467818490229547,0.4569844469660893,0.04883283603703603,3.0,0.0,4.607728113450257,0.4569844469660893,1.7178186178207397,0.0
L05_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,5,mild,0.0,0.0,0.007491482731882909,0.0,0.0,0.0,0.43360856980027807,2.3567925899411923,0.7268273894271633,0.022222894257353732,22.22289425735373,388.49811112293577,0.3621799918424605,1.878105383995508,0.5860447319573723,0.04570304194930941,0.46147912595188245,0.050909710000269115,3.0,0.0,5.135750072567402,0.46147912595188245,1.8908202648162842,0.0
L05_NO_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,5,mild,0.0,0.0,0.006897010531822498,0.0,0.0,0.0,0.44943617949568854,2.732746819727934,0.7711251014396273,0.02114459089179674,21.14459089179674,2270.979616027985,0.19102904407304216,1.6240966733239692,0.58291018899763,0.0454953289590776,0.4588522179983556,0.050716524943709373,3.0,0.0,5.135750072567402,0.4588522179983556,1.0424164533615112,0.0
PLAIN_FM,ood_shifted_000,SHIFTED_OBSTACLE,0,6,mild,1.0,0.0,-0.009363181969066072,0.0,0.2835099514961241,2.738626003265381,0.44167463901593484,3.2023848000459663,0.910502013088369,0.04454768841918677,44.54768841918678,8511.49543714107,0.14292172461080252,1.4344313955465378,0.06980210199253634,0.04410043900134042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,6,mild,0.0,0.0,0.0005677167942212263,0.0,0.0,0.0,0.42685151358838647,2.3288457977023427,0.7138662276915914,0.022289481056720645,22.289481056720646,378.5692601879738,0.3550406671014116,1.9008836970713188,0.5783281869953498,0.04492267104797065,0.4549293729942292,0.04787410103017464,3.0,0.0,4.619068314788596,0.4549293729942292,1.824777603149414,0.0
L05_REPLACE,ood_shifted_000,SHIFTED_OBSTACLE,0,6,mild,0.0,0.0,0.004397358531731482,0.0,0.0,0.0,0.43870960833679945,2.4261932281274956,0.7075455529720014,0.02576701352510109,25.767013525101092,433.34856764530014,0.32608691196421147,1.8537753664089003,0.5800699930405244,0.045551489922218025,0.45577617501839995,0.04814321891171858,3.0,0.0,4.696930418966863,0.45577617501839995,1.6700890064239502,0.0
