method,metric,count,mean,std,median,ci95_low,ci95_high
FLOWMATCH,min_ade,73002,0.28849774288009344,0.26752405823250436,0.2246997430920601,0.28655707357860305,0.29043841218158384
FLOWMATCH,min_fde,73002,0.5240757936709979,0.5709527110414172,0.3614815026521683,0.5199339964575383,0.5282175908844574
FLOWMATCH,avg_ade,73002,0.7904975928663127,0.40741581678840727,0.7501893937587738,0.7875421227160516,0.7934530630165738
FLOWMATCH,avg_fde,73002,1.6953228454186107,0.869086512859514,1.5994333028793335,1.6890183301275785,1.7016273607096428
FLOWMATCH,kde_nll,73002,1.186484832645221,3.529679411009454,0.4704996645450592,1.1608798813660528,1.2120897839243894
FLOWMATCH,col010_sample_rate,73002,0.07082819778537809,0.10304674661757048,0.05000000074505806,0.07008067750963012,0.07157571806112606
FLOWMATCH,col020_sample_rate,73002,0.19572135358581408,0.2182159470477228,0.10000000149011612,0.194138374498516,0.19730433267311215
FLOWMATCH,apd,73002,0.7453973454130516,0.3047387984950393,0.7307600378990173,0.7431867134604726,0.7476079773656306
FLOWMATCH,viol_sample_rate,73002,0.005436837442327645,0.023443774502370382,0.0,0.005266771939477535,0.005606902945177755
FLOWMATCH,max_viol,73002,0.25496636882572543,2.8087460344453845,0.0,0.2345912024173508,0.27534153523410004
FLOWMATCH,latency_s,73002,0.0017139874519394238,1.7151433425921353e-05,0.001711661621928215,0.0017138630322496727,0.0017141118716291748
FLOWMATCH,distortion_vs_flowmatch_m,73002,0.0,0.0,0.0,0.0,0.0
FLOWMATCH,dist_to_posthoc_m,73002,0.0004650682221450463,0.004731250003880745,6.610539685425465e-06,0.0004307468541870748,0.0004993895901030178
HARDFLOW,min_ade,73002,0.288455337854664,0.2674807388172967,0.22466783225536346,0.28651498280027277,0.2903956929090552
HARDFLOW,min_fde,73002,0.5240779213730358,0.5709606247585028,0.361365407705307,0.5199360667519998,0.5282197759940718
HARDFLOW,avg_ade,73002,0.7901309055716935,0.40734251909113434,0.7500043213367462,0.7871759671365682,0.7930858440068188
HARDFLOW,avg_fde,73002,1.6943560604059429,0.8684283778344627,1.5987531542778015,1.6880563193488538,1.700655801463032
HARDFLOW,kde_nll,73002,1.1853610961573608,3.532484308945145,0.4692196696996689,1.1597357976266085,1.2109863946881132
HARDFLOW,col010_sample_rate,73002,0.07083230726230028,0.10305754708238031,0.05000000074505806,0.07008470863797074,0.07157990588662981
HARDFLOW,col020_sample_rate,73002,0.19568505321223734,0.2182159384824867,0.10000000149011612,0.1941020741870731,0.19726803223740158
HARDFLOW,apd,73002,0.7447179128417388,0.30424831042789485,0.7304111123085022,0.7425108389808729,0.7469249867026048
HARDFLOW,viol_sample_rate,73002,0.0,0.0,0.0,0.0,0.0
HARDFLOW,max_viol,73002,0.0,0.0,0.0,0.0,0.0
HARDFLOW,latency_s,73002,0.04608936852403939,0.009909716738852034,0.04485408939886838,0.04601748159473435,0.04616125545334442
HARDFLOW,distortion_vs_flowmatch_m,73002,0.0009884794046652414,0.006022663262873467,2.4959353140729945e-05,0.0009447898846097614,0.0010321689247207214
HARDFLOW,dist_to_posthoc_m,73002,0.0006687072563498916,0.002837271349044048,2.4881610443117097e-05,0.0006481251620011936,0.0006892893506985895
YFLOW,min_ade,73002,0.28848384343391326,0.2674935464001865,0.22469894587993622,0.2865433954709324,0.29042429139689413
YFLOW,min_fde,73002,0.5240842302978843,0.5709582167528034,0.36148975789546967,0.5199423931449698,0.5282260674507988
YFLOW,avg_ade,73002,0.7903231108668168,0.4073990143397882,0.7500953376293182,0.7873677626046447,0.793278459128989
YFLOW,avg_fde,73002,1.6947598213227901,0.8686157449507723,1.5989517569541931,1.6884587210697724,1.701060921575808
YFLOW,kde_nll,73002,1.185769074201277,3.5314768093096554,0.46966178715229034,1.1601510842603644,1.2113870641421896
YFLOW,col010_sample_rate,73002,0.0708275128728299,0.10303674833037078,0.05000000074505806,0.07008006512651785,0.07157496061914195
YFLOW,col020_sample_rate,73002,0.1957117648058017,0.2182148172005844,0.10000000149011612,0.19412879391462504,0.1972947356969784
YFLOW,apd,73002,0.7450466107701267,0.30452238703010637,0.7305929660797119,0.7428375487065859,0.7472556728336675
YFLOW,viol_sample_rate,73002,0.0,0.0,0.0,0.0,0.0
YFLOW,max_viol,73002,0.0,0.0,0.0,0.0,0.0
YFLOW,latency_s,73002,0.03009749197930721,0.006432523799645602,0.02928128035273403,0.030050829254647773,0.030144154703966645
YFLOW,distortion_vs_flowmatch_m,73002,0.0005199882968006131,0.004941358088686091,4.451681888895109e-06,0.0004841427656968273,0.0005558338279043989
YFLOW,dist_to_posthoc_m,73002,0.00014091501612490458,0.001042029357694042,4.249600124239805e-06,0.00013335594125481927,0.0001484740909949899
SAFEFLOW,min_ade,73002,0.288489051256709,0.2674991070295455,0.2246997430920601,0.286548562955888,0.29042953955753
SAFEFLOW,min_fde,73002,0.5240779029781085,0.5709516225400509,0.3614815026521683,0.5199361136608405,0.5282196922953766
SAFEFLOW,avg_ade,73002,0.7903710508555076,0.4073969693866887,0.7501452267169952,0.7874157174278058,0.7933263842832095
SAFEFLOW,avg_fde,73002,1.694821050102384,0.8686383254501682,1.5990431904792786,1.6885197860462215,1.7011223141585463
SAFEFLOW,kde_nll,73002,1.1858932662280874,3.5306694830200342,0.47002361714839935,1.1602811327823137,1.2115053996738612
SAFEFLOW,col010_sample_rate,73002,0.07083778656391061,0.10304879603120315,0.05000000074505806,0.07009025142133478,0.07158532170648645
SAFEFLOW,col020_sample_rate,73002,0.19572340832197882,0.21820680633280912,0.10000000149011612,0.1941404955431277,0.19730632110082993
SAFEFLOW,apd,73002,0.745141780268904,0.3045544731335976,0.7306341528892517,0.7429324854467977,0.7473510750910103
SAFEFLOW,viol_sample_rate,73002,0.0,0.0,0.0,0.0,0.0
SAFEFLOW,max_viol,73002,0.0,0.0,0.0,0.0,0.0
SAFEFLOW,latency_s,73002,0.0021681270314438342,0.00010237074819184509,0.002155973623506725,0.002167384414986462,0.0021688696479012066
SAFEFLOW,distortion_vs_flowmatch_m,73002,0.0004699294188126609,0.004768772747758033,0.0,0.00043533585388806347,0.0005045229837372583
SAFEFLOW,dist_to_posthoc_m,73002,4.6872316490737786e-05,0.00027290158306863215,6.611859816985088e-06,4.48926376233922e-05,4.8851995358083374e-05
UNICONFLOW,min_ade,73002,0.28834777405534345,0.26827148784001914,0.22472135722637177,0.28640168276039235,0.29029386535029456
UNICONFLOW,min_fde,73002,0.5270567509940485,0.5718781953913191,0.364041730761528,0.522908240144893,0.5312052618432039
UNICONFLOW,avg_ade,73002,0.7955956768367436,0.407915357405624,0.7560430765151978,0.7926365829258866,0.7985547707476006
UNICONFLOW,avg_fde,73002,1.7086825297881538,0.8694089640287345,1.6152145266532898,1.702375675376336,1.7149893841999717
