method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,trajectory_distortion_vs_plain,projection_failure_rate,trigger_fraction,zero_projection_trajectory
POV_L05_ADAPTIVE_NO_LAST,0,0,0.0,0.0,0.06484376683168482,0.0,0.25125325884819016,2.599729299545288,0.47172423187374524,3.1407644829849235,0.8702979136280684,0.05552281857432673,55.52281857432672,13179.810114003776,0.10999148565017514,1.4591354561854395,1.3354780449881218,0.04967382794711739,1.2120422820444219,0.13247162010520697,6.0,0.0,20.985330164119052,0.3751879930496216,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,0,1,0.0,0.0,0.03272325069382298,0.0,0.19196824398040757,3.07802677154541,0.4674194714699823,2.9907401710258856,0.8513174521410833,0.06749302135207857,67.49302135207857,16676.33205812658,0.1368270866002083,1.4803959020062698,1.5179756680154242,0.04913099197437987,1.39525944594061,0.14807086787186563,6.0,0.0,22.218966814001146,0.570865273475647,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,0,2,0.0,0.0,0.045594480066157,0.0,0.314890008831024,0.9826046228408813,0.437843240874211,3.073380446035685,0.8338812044173639,0.048180611481205116,48.18061148120512,10728.219918560279,0.1467643227416253,1.3855902533054985,1.6043131420155987,0.04970122792292386,1.4794575991109014,0.15982666000491008,6.0,0.0,16.113818079943506,0.49204543232917786,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,0,3,0.0,0.0,0.059938073937974304,0.0,0.20445333089828477,1.6928088665008545,0.46153015202873715,3.102831518033142,0.8933345231910305,0.0456315584857033,45.631558485703295,9661.076840421474,0.09886388799087657,1.498567782839767,1.1474665940040722,0.049574794073123485,1.0246581860701554,0.11448991997167468,6.0,0.0,17.846895729162444,0.3777545094490051,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,0,4,0.0,0.0,0.042721079925021485,0.0,0.29247478809356675,1.2860369682312012,0.4723861468845028,3.0069389363432504,0.8182952864559488,0.061936763901377784,61.93676390137778,15814.755059018142,0.1381456093363277,1.453460552487285,1.417318238003645,0.04893845797050744,1.2954734459635802,0.1407950329594314,6.0,0.0,24.881385067267605,0.6914100050926208,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,0,5,0.0,0.0,0.04706551252041165,0.0,0.3292156871795653,3.393239974975586,0.43824281688922145,3.1159855265527625,0.876743465160392,0.054960005800130406,54.96000580013041,12768.871770790953,0.1333967651564274,1.3729349661279424,1.1390144529868849,0.048953786958009005,1.0171171119436622,0.11145162023603916,6.0,0.0,17.30041670853733,0.4741266369819641,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,0,6,0.0,0.0,0.04382605603680542,0.0,0.19009218778610215,5.553479194641113,0.44372223242588094,3.0531772725622845,0.8749071348495012,0.09068760758965977,90.68760758965978,21899.15905096751,0.15213143237327278,1.5063730007044904,1.5050022250507027,0.048625512048602104,1.3835769240395166,0.14841432293178514,6.0,0.0,20.25620833509093,0.6229286193847656,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,0,7,0.0,0.0,0.04744435836988527,0.0,0.29702798690795884,3.4178954362869263,0.4712618070781009,3.054739339774092,0.8906442170545363,0.0883320668291051,88.33206682910512,21048.840119194567,0.12874128768029847,1.4475411872233424,1.4141172709641978,0.048455844982527196,1.2925726580433547,0.13940613705199212,6.0,0.0,22.290594224341906,0.6354814171791077,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,0,8,0.0,0.0,0.0492502689010207,0.0,0.2871285494804381,3.696866035461426,0.46409641754783115,3.061756244329807,0.8356451241314398,0.07124515297378542,71.24515297378541,17022.642630431274,0.1425710915024486,1.4698595569999122,1.3213388089789078,0.048246639082208276,1.2002751480322331,0.12971358402865008,6.0,0.0,19.531531337637944,0.4850066006183624,0.0,0.8571428571428571,0.0
POV_L05_ADAPTIVE_NO_LAST,0,9,0.0,0.0,0.05817709194631694,0.0,0.26420579519271836,3.317387104034424,0.44755446207879795,3.0416101154434916,0.8459852003211473,0.05312666154258816,53.12666154258816,10808.183438000917,0.1450727848273893,1.4650122303127264,1.3212902270024642,0.048032773134764284,1.2003494599484839,0.13100939098512754,6.0,0.0,24.906998475935108,0.6660817265510559,0.0,0.8571428571428571,0.0
