method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,trajectory_distortion_vs_plain,projection_failure_rate,trigger_fraction,zero_projection_trajectory
POV_L025_ADAPTIVE,0,1,0.0,0.0,0.029132432688740904,0.0,0.15539761047363276,0.49182891845703125,0.4475727519227435,2.8140694391428775,0.8236791448280328,0.038942682370124326,38.94268237012433,7674.706965317779,0.23211457850951056,1.6194325228170863,1.6753932389547117,0.048225608945358545,1.5476384649518877,0.16552173090167344,7.0,0.0,25.03785418411349,1.0843427181243896,0.0,1.0,0.0
GOAL_AWARE_FINAL_PROJECTION,0,1,0.0,0.0,0.04828791713295934,1.1642945185741382e-07,0.004154400634765576,0.0,0.43624479857759846,2.623557092453491,0.8104777192909864,0.052008082143026074,52.00808214302607,1186.8445655294602,0.6425782424284696,2.1263789216691023,0.2662484779721126,0.044873010949231684,0.18321414600359276,0.01967100508045405,1.0,0.0,3.1629518281052595,3.162951946258545,0.0,0.0,0.0
PLAIN_FM,0,2,0.0,0.0,0.06846092663355709,0.0,0.24138332571983323,0.0,0.4507020561450803,3.2000971500175366,0.8754920496473305,0.038110066969049394,38.11006696904939,7002.454474949251,0.15219075423646974,1.4189390159689457,0.06989714503288269,0.04430870711803436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ORIGINAL_SAFEFLOWMPC,0,2,0.0,0.0,0.08647964728420451,0.0,0.0021934078216552244,0.0,0.5970462796337292,2.261089083881498,0.5980838538952035,0.02535247864410871,25.35247864410871,352.402999778613,0.30775083171984186,2.1559452541365847,0.18882573896553367,0.04731928597902879,0.04032019595615566,0.03071142901899293,7.0,0.0,15.867308921867277,1.7890167236328125,0.0,0.0,0.0
POV_L05_ALWAYS,0,2,0.0,0.0,0.03640388184642117,0.0,0.0,0.0,0.4209330310494158,2.6245354962357537,0.8034059895028276,0.02243059723418528,22.430597234185278,2601.350240965705,0.2708319781914298,1.747974235558358,1.6796721989521757,0.04955371195683256,1.551071236957796,0.1670384387834929,7.0,0.0,18.364378007458505,1.4538460969924927,0.0,0.0,0.0
POV_L05_ADAPTIVE,0,2,0.0,0.0,0.03640388184642117,0.0,0.0,0.0,0.4209330310494158,2.6245354962357537,0.8034059895028276,0.02243059723418528,22.430597234185278,2601.350240965705,0.2708319781914298,1.747974235558358,1.6891058210167103,0.04913402104284614,1.5600466170581058,0.16805976501200348,7.0,0.0,18.364378007451656,1.4538460969924927,0.0,1.0,0.0
POV_L025_ADAPTIVE,0,2,0.0,0.0,0.05175169241053536,0.0,0.06599064331054683,0.0,0.4301603459331698,2.9489040976401975,0.8422835186136575,0.028773784162817034,28.773784162817037,4324.2420315362515,0.1659415787585501,1.5617311339671496,1.6894813709659502,0.04904285992961377,1.5603229229454882,0.1676545879454352,7.0,0.0,18.408183074678554,0.7354280352592468,0.0,1.0,0.0
GOAL_AWARE_FINAL_PROJECTION,0,2,0.0,0.0,0.06659405872489514,0.0,0.0,0.0,0.4686228892879898,2.715933796882378,0.8594911144367816,0.0372962508171584,37.2962508171584,665.6204620453218,0.494308022135435,2.000000473027739,0.17582439503166825,0.04418934602290392,0.0944410459487699,0.010728575987741351,1.0,0.0,2.444248886059159,2.444248914718628,0.0,0.0,0.0
PLAIN_FM,0,3,0.0,0.0,0.07206453917989504,0.0,0.2089800056457518,2.84456729888916,0.45921352991696374,3.2012565841264995,0.9058163467177829,0.04113670616714238,41.13670616714238,7680.173216384212,0.12849558717346254,1.4480022872149885,0.0711522379424423,0.044947795977350324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ORIGINAL_SAFEFLOWMPC,0,3,0.0,0.0,0.08752975599326047,0.0,0.0,0.0,0.6083416585548407,2.206162010086858,0.5874454117372796,0.024234258497584177,24.23425849758418,331.3856169869553,0.324296412784435,2.1966984769197526,0.1936940349987708,0.04818572889780626,0.04317543690558523,0.03327490296214819,7.0,0.0,16.804985970888236,1.8173918724060059,0.0,0.0,0.0
POV_L05_ALWAYS,0,3,0.0,0.0,0.04033212320238547,0.0,0.004961055183410501,0.0,0.437878843854277,2.7495447342682287,0.8356454749710753,0.024212086031579205,24.212086031579204,2471.0082215965376,0.2646479532459175,1.8039764615258749,1.2284173889784142,0.0489183270256035,1.1004544841125607,0.12211179599398747,7.0,0.0,20.053943942842377,1.4238523244857788,0.0,0.0,0.0
POV_L05_ADAPTIVE,0,3,0.0,0.0,0.04033212320238547,0.0,0.004961055183410501,0.0,0.437878843854277,2.7495447342682287,0.8356454749710753,0.024212086031579205,24.212086031579204,2471.0082215965376,0.2646479532459175,1.8039764615258749,1.2272789209964685,0.04864039801759645,1.0995936310500838,0.12208325491519645,7.0,0.0,20.053943942842377,1.4238523244857788,0.0,1.0,0.0
POV_L025_ADAPTIVE,0,3,0.0,0.0,0.04900417918554027,0.0,0.029238474035262918,0.7008862495422363,0.443074802702874,2.9223073032562534,0.8576403922589432,0.029603430622630267,29.603430622630267,4805.567590757676,0.15128470762159338,1.6040655262835675,1.3271346960100345,0.04999547509942204,1.197506366064772,0.13095262396382168,7.0,0.0,21.782828067912156,0.781503438949585,0.0,1.0,0.0
GOAL_AWARE_FINAL_PROJECTION,0,3,0.0,0.0,0.07466719525793518,0.0,0.0,0.0,0.4585320216351335,2.8510474492898283,0.8862858216561127,0.04495278666920659,44.952786669206596,876.0342649186238,0.5035116861750495,1.9365955226226619,0.1735311170341447,0.044065611029509455,0.09279471397167072,0.010595062980428338,1.0,0.0,2.507826718254823,2.507826805114746,0.0,0.0,0.0
PLAIN_FM,0,4,0.0,0.0,0.07344253612534968,0.0,0.31594977941513047,1.2879979610443115,0.4554710032326637,3.227788364615522,0.8601428529939373,0.04661211657227504,46.61211657227504,10484.056012830557,0.15879118864958097,1.4085414392819284,0.06968070997390896,0.0439832589472644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ORIGINAL_SAFEFLOWMPC,0,4,0.0,0.0,0.12236671427742313,0.0,0.0,0.0,0.6543587099000838,2.1505524137248626,0.5358676539279477,0.023175971004573463,23.175971004573466,297.5066687619446,0.3384728844265207,2.2256540524074944,0.18873259704560041,0.046532265027053654,0.04072815703693777,0.031051049125380814,7.0,0.0,17.651358331018592,2.02455472946167,0.0,0.0,0.0
POV_L05_ALWAYS,0,4,0.0,0.0,0.009198050221797538,0.0,0.0,0.0,0.3775147701885797,2.7034108246942523,0.8003282543448537,0.032973588565353706,32.9735885653537,4148.389310385209,0.34379855217022953,1.5079015405572473,1.6016084940056317,0.04894139606039971,1.4728536800830625,0.15956315695075318,7.0,0.0,27.417907931767623,1.7403687238693237,0.0,0.0,0.0
POV_L05_ADAPTIVE,0,4,0.0,0.0,0.009198050221797538,0.0,0.0,0.0,0.3775147701885797,2.7034108246942523,0.8003282543448537,0.032973588565353706,32.9735885653537,4148.389310385209,0.34379855217022953,1.5079015405572473,1.5934145540231839,0.04898886795854196,1.4643426200491376,0.1616353809949942,7.0,0.0,27.417907931767623,1.7403687238693237,0.0,1.0,0.0
POV_L025_ADAPTIVE,0,4,0.0,0.0,0.047825891817601676,0.0,0.08376502659320817,0.0,0.432712330630658,2.9705395224623095,0.8370076404026388,0.03305615333757519,33.05615333757519,6385.1417447091235,0.17103680415482853,1.5084432901664362,1.3931275799986906,0.04878600290976465,1.2661051989998668,0.14049325010273606,7.0,0.0,23.47711900250498,0.7878167033195496,0.0,1.0,0.0
GOAL_AWARE_FINAL_PROJECTION,0,4,0.0,0.0,0.05443756579861232,0.0,0.0,0.0,0.4678813976855128,2.486309172873717,0.8166132548002888,0.027786850033924115,27.786850033924118,479.12162582875453,0.4942263137209801,2.146724911976771,0.17220252199331298,0.04351481603225693,0.09229062095982954,0.010536560963373631,1.0,0.0,2.5957348241227454,2.5957348346710205,0.0,0.0,0.0
PLAIN_FM,0,5,0.0,0.0,0.06871894711325184,0.0,0.4044778760910033,0.9894442558288574,0.45396397892630014,3.2318001489384773,0.9142575046786916,0.04543701543915146,45.43701543915146,8801.735405676902,0.1358455085866821,1.385202283025336,0.06921600800706074,0.043585238920059055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ORIGINAL_SAFEFLOWMPC,0,5,0.0,0.0,0.09901189740558727,0.0,0.0004489835739134307,0.0,0.6246787382648272,2.207390317644884,0.5754423969462862,0.02445504508106945,24.45504508106945,334.6058252899909,0.3211353338162485,2.1972075946357914,0.18362114601768553,0.04517313902033493,0.039757679973263294,0.030305027030408382,7.0,0.0,18.525505789797737,1.8109307289123535,0.0,0.0,0.0
POV_L05_ALWAYS,0,5,0.0,0.0,0.034998636861910515,0.0,0.0,0.0,0.43841371251134226,2.572614698568555,0.7813225082498195,0.021918196683043067,21.918196683043067,3088.429434523476,0.25325670085059004,1.7556400146767748,1.2000411209883168,0.0472763929865323,1.0752179449773394,0.11830431502312422,7.0,0.0,19.439147226856374,1.4036567211151123,0.0,0.0,0.0
POV_L05_ADAPTIVE,0,5,0.0,0.0,0.034998636861910515,0.0,0.0,0.0,0.43841371251134226,2.572614698568555,0.7813225082498195,0.021918196683043067,21.918196683043067,3088.429434523476,0.25325670085059004,1.7556400146767748,1.1988156699808314,0.04717340396018699,1.0744759049848653,0.11791324696969241,7.0,0.0,19.439147226856374,1.4036567211151123,0.0,1.0,0.0
POV_L025_ADAPTIVE,0,5,0.0,0.0,0.038291872781755804,0.0,0.03098602752685542,0.0,0.426121418790424,2.8802079952287243,0.8540347482058449,0.034336901825851474,34.33690182585147,5836.675941736092,0.2186165881616265,1.5460696264238498,1.2862900759791955,0.04731723491568118,1.161826190073043,0.12655195099068806,7.0,0.0,21.384523428211203,1.0819886922836304,0.0,1.0,0.0
GOAL_AWARE_FINAL_PROJECTION,0,5,0.0,0.0,0.03643345088395504,1.1642945185741382e-07,0.004154400634765576,0.0,0.30427644089364597,2.5924892269239157,0.9242584131612798,0.04650608907453551,46.50608907453551,1043.7173870297968,0.6060314274612589,1.8090501075302075,0.25499703898094594,0.04282341891666874,0.17647735303035006,0.01806898502400145,1.0,0.0,3.0783666788484916,3.078366756439209,0.0,0.0,0.0
PLAIN_FM,0,6,0.0,0.0,0.06484939355565979,0.0,0.2835099514961241,2.738626003265381,0.44167463901593484,3.2023848000459663,0.910502013088369,0.04454768841918677,44.54768841918678,8511.49543714107,0.14292172461080252,1.4344313955465378,0.0676183570176363,0.042616712977178395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ORIGINAL_SAFEFLOWMPC,0,6,0.0,0.0,0.09535836151799199,0.0,0.0010978744506835447,0.0,0.6051225225811642,2.240527045661476,0.5966918098337561,0.02490274287203648,24.902742872036484,344.2492661938971,0.3100968471577452,2.1781270508251622,0.18278121401090175,0.04475624888436869,0.039622548036277294,0.03022312599932775,7.0,0.0,16.992270731150583,1.7627300024032593,0.0,0.0,0.0
POV_L05_ALWAYS,0,6,0.0,0.0,0.04525743081173102,0.0,0.0,0.10632991790771484,0.43743457201922203,2.513378193984408,0.7935014715751527,0.030271229577668833,30.271229577668834,5405.010096099468,0.32616611506523363,1.8416959353391564,1.5548750939778984,0.04731477505993098,1.429703637957573,0.15384953212924302,7.0,0.0,22.518010115595906,1.66233229637146,0.0,0.0,0.0
POV_L05_ADAPTIVE,0,6,0.0,0.0,0.04525743081173102,0.0,0.0,0.10632991790771484,0.43743457201922203,2.513378193984408,0.7935014715751527,0.030271229577668833,30.271229577668834,5405.010096099468,0.32616611506523363,1.8416959353391564,1.550433330994565,0.047027636028360575,1.4259232719778083,0.15338525909464806,7.0,0.0,22.518010115595906,1.66233229637146,0.0,1.0,0.0
POV_L025_ADAPTIVE,0,6,0.0,0.0,0.04524493480588214,0.0,0.06450341310501084,0.676800012588501,0.4220065430932748,2.9039195922315297,0.8627826631203563,0.03506400850686264,35.06400850686264,6078.5691937318425,0.1783579068453032,1.5965698259724588,1.636404357966967,0.046807782957330346,1.5125543980393559,0.16299676394555718,7.0,0.0,20.147798194121997,0.7657826542854309,0.0,1.0,0.0
GOAL_AWARE_FINAL_PROJECTION,0,6,0.0,0.0,0.043270783716317734,0.0,0.0,0.0,0.42664176704152734,2.294839983261643,0.8102752694941565,0.02205012263114392,22.05012263114392,406.1919047696483,0.4889762571176985,2.3878357735298437,0.1680166149744764,0.04261630604742095,0.08982458699028939,0.01026811299379915,1.0,0.0,2.542702993340793,2.5427029132843018,0.0,0.0,0.0
PLAIN_FM,0,7,0.0,0.0,0.06774255636681951,0.0,0.28606490459442124,0.2149057388305664,0.4510840570144335,3.2081582566018483,0.9275421565363855,0.04082554702899832,40.82554702899832,7358.138151546002,0.12441299199805718,1.3904349254506188,0.06789272400783375,0.04290019994368777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
