method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,trajectory_distortion_vs_plain,projection_failure_rate
PLAIN_FM,0,0,0.0,0.0,0.07128309431491557,0.0,0.26482270326614366,3.9021146297454834,0.4667795981086212,3.2125233831537368,0.8903069096375384,0.0547209868745947,54.7209868745947,12386.080328951233,0.13812201875114405,1.43700027116363,0.08988258801400661,0.04433028306812048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,0,0.0,0.0,0.04346607391588182,0.0,0.007745784187316751,0.0,0.4488678787312162,2.72357705673799,0.8064615866400666,0.025443588332901168,25.44358833290117,3289.6607772294756,0.23282392409792044,1.7687742602043532,1.4352519600070082,0.04736862104618922,1.2998945299186744,0.1411574369412847,7.0,0.0,23.058177961813655,1.3138694763183594,0.0
YFLOW_MAIN_PORT,0,0,0.0,0.0,0.03621304935841921,0.0,0.00033484067916855764,0.0,0.42710660202425876,2.4821591158196874,0.7664561145033707,0.027080635940691298,27.080635940691298,472.49263741404013,0.3152667022638966,1.8888853228461016,0.4661436679889448,0.045122922980226576,0.3699852059362456,0.03943135088775307,3.0,0.0,4.700293914302599,1.7213491201400757,0.0
GOAL_AWARE_FINAL_PROJECTION,0,0,0.0,0.0,0.041057072700821415,0.0,0.0,0.0,0.46555230869381264,2.5614427478670003,0.8182396501559387,0.030671665359715272,30.671665359715277,526.3127669160817,0.45299151984361724,2.128913457189414,0.1748713250271976,0.043734020087867975,0.09343819599598646,0.010412450006697327,1.0,0.0,2.392152455426575,2.3921525478363037,0.0
PLAIN_FM,0,1,0.0,0.0,0.0542539540896924,0.0,0.2275168464660644,0.0,0.448154549978916,3.1815735877522284,0.8986559665992776,0.047675735956651616,47.675735956651614,10510.871320750486,0.1331795841682959,1.3733572617495895,0.07002856396138668,0.04363781801657751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,1,0.0,0.0,0.04147627424078798,0.0,0.07129545669555659,0.0,0.463383245814334,2.5058999646546,0.7869690972108667,0.03496181827061351,34.96181827061351,4523.842061670535,0.45609891741842834,2.034028286788254,1.7030492639751174,0.04766158590791747,1.5736446909140795,0.1659853958990425,7.0,0.0,26.222094180485442,2.377143621444702,0.0
YFLOW_MAIN_PORT,0,1,0.0,0.0,0.02879344919263732,0.0,0.0,0.0,0.4388548347501728,2.338793910501121,0.7393670337936419,0.020592608115666218,20.59260811566622,332.4824322676963,0.36171708303001504,1.8608553333860174,0.5561991829890758,0.04517109494190663,0.46002161799697205,0.04674877488287166,3.0,0.0,4.5891976148137426,1.7703981399536133,0.0
GOAL_AWARE_FINAL_PROJECTION,0,1,0.0,0.0,0.04828791713295934,1.1642945185741382e-07,0.004154400634765576,0.0,0.43624479857759846,2.623557092453491,0.8104777192909864,0.052008082143026074,52.00808214302607,1186.8445655294602,0.6425782424284696,2.1263789216691023,0.2694135800120421,0.04385111207375303,0.1873191560152918,0.0197297110571526,1.0,0.0,3.1629518281052595,3.162951946258545,0.0
PLAIN_FM,0,2,0.0,0.0,0.06846092663355709,0.0,0.24138332571983323,0.0,0.4507020561450803,3.2000971500175366,0.8754920496473305,0.038110066969049394,38.11006696904939,7002.454474949251,0.15219075423646974,1.4189390159689457,0.0711053810082376,0.044337454019114375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,2,0.0,0.0,0.03640388184642117,0.0,0.0,0.0,0.4209330310494158,2.6245354962357537,0.8034059895028276,0.02243059723418528,22.430597234185278,2601.350240965705,0.2708319781914298,1.747974235558358,1.6957813589833677,0.047343338024802506,1.5671252539614215,0.16773271886631846,7.0,0.0,18.36437800744868,1.4538460969924927,0.0
