t,dt,delta,mean_abs_change_m,path
0.0,0.05,0.1,0.027064443088502532,sampler
0.0,0.05,0.5,0.15251521614820795,sampler
0.0,0.05,1.0,0.8309437865419866,sampler
0.05,0.05,0.1,0.023727357646287084,sampler
0.05,0.05,0.5,0.13963915009012506,sampler
0.05,0.05,1.0,0.9076137098574932,sampler
0.1,0.05,0.1,0.024162096831321644,sampler
0.1,0.05,0.5,0.1432119243502461,sampler
0.1,0.05,1.0,1.0836988304845008,sampler
0.15000000000000002,0.05,0.1,0.023813480457486325,sampler
0.15000000000000002,0.05,0.5,0.14550669066418997,sampler
0.15000000000000002,0.05,1.0,1.31866638676577,sampler
0.2,0.05,0.1,0.024319146079924137,sampler
0.2,0.05,0.5,0.15344467647270044,sampler
0.2,0.05,1.0,1.5489409899965523,sampler
0.25,0.05,0.1,0.024975503525535014,sampler
0.25,0.05,0.5,0.1550019642487932,sampler
0.25,0.05,1.0,1.9117115753404335,sampler
0.30000000000000004,0.05,0.1,0.026784963447649135,sampler
0.30000000000000004,0.05,0.5,0.17655328839678575,sampler
0.30000000000000004,0.05,1.0,2.2518555529003237,sampler
0.35000000000000003,0.05,0.1,0.026835090210979295,sampler
0.35000000000000003,0.05,0.5,0.19136284540524073,sampler
0.35000000000000003,0.05,1.0,2.8353518927769983,sampler
0.4,0.05,0.1,0.03035014918914336,sampler
0.4,0.05,0.5,0.2281017430739407,sampler
0.4,0.05,1.0,3.4853971518735705,sampler
0.45,0.05,0.1,0.03416320577023457,sampler
0.45,0.05,0.5,0.27193536423552267,sampler
0.45,0.05,1.0,4.213770361150466,sampler
0.5,0.05,0.1,0.0375635539335617,sampler
0.5,0.05,0.5,0.36281389919878393,sampler
0.5,0.05,1.0,5.176777335017277,sampler
0.55,0.05,0.1,0.04239909894447447,sampler
0.55,0.05,0.5,0.5084101567272192,sampler
0.55,0.05,1.0,6.087986438592452,sampler
0.6000000000000001,0.05,0.1,0.051763146158554374,sampler
0.6000000000000001,0.05,0.5,0.7824134309616326,sampler
0.6000000000000001,0.05,1.0,6.9965235585851815,sampler
0.65,0.05,0.1,0.06601693226628846,sampler
0.65,0.05,0.5,1.2052142003625477,sampler
0.65,0.05,1.0,7.771913613598258,sampler
0.7000000000000001,0.05,0.1,0.08187438377273093,sampler
0.7000000000000001,0.05,0.5,1.8694277651585622,sampler
0.7000000000000001,0.05,1.0,8.481167399799574,sampler
0.75,0.05,0.1,0.1041453194934272,sampler
0.75,0.05,0.5,2.7334485551338616,sampler
0.75,0.05,1.0,9.015165903832099,sampler
0.8,0.05,0.1,0.13695843498454874,sampler
0.8,0.05,0.5,3.664289972828385,sampler
0.8,0.05,1.0,9.6130225054128,sampler
0.8500000000000001,0.05,0.1,0.17606501062294555,sampler
0.8500000000000001,0.05,0.5,4.359411341952892,sampler
0.8500000000000001,0.05,1.0,10.010477038206886,sampler
0.9,0.05,0.1,0.23974789331521862,sampler
0.9,0.05,0.5,4.808310358984329,sampler
0.9,0.05,1.0,10.478444876731032,sampler
0.9500000000000001,0.05,0.1,0.5166511676396723,sampler
0.9500000000000001,0.05,0.5,5.157027867233239,sampler
0.9500000000000001,0.05,1.0,10.877389956150978,sampler
0.9,,0.1,0.23781860484005435,analytic
0.9,,0.5,4.817883408439343,analytic
0.9,,1.0,10.462967392579117,analytic
0.95,,0.1,0.5148894969077666,analytic
0.95,,0.5,5.174774172356251,analytic
0.95,,1.0,10.892484628328134,analytic
0.98,,0.1,0.8777587072117399,analytic
0.98,,0.5,5.503703711616765,analytic
0.98,,1.0,11.205260712291647,analytic
0.99,,0.1,1.0053178036438837,analytic
0.99,,0.5,5.605300139659448,analytic
0.99,,1.0,11.45132300937803,analytic
0.999,,0.1,1.137803610438688,analytic
0.999,,0.5,5.7682141357798855,analytic
0.999,,1.0,11.539875779401427,analytic
