method,task_id,seed,flow_step,t,lambda_pov,raw_velocity_norm,endpoint_constraint_violation_before_projection,endpoint_goal_error,endpoint_min_clearance,projection_called,projection_solver_success,projection_solver_status,projection_solver_iterations,projection_runtime_sec,projection_total_runtime_sec,correction_norm,normalized_correction_norm,velocity_change_norm,goal_error_before_projection,goal_error_after_projection,min_clearance_before_projection,min_clearance_after_projection,violation_before_projection,violation_after_projection,projection_error
NORMALIZED_POV_L1,0,0,1,0.14285714285714285,1.0,18.597835540771484,13.19537000026703,0.47206906113003577,0.05881041198757862,1.0,1.0,0.0,2,0.02017301198793575,0.1845627460279502,2.9435099359565116,3.4340949058532715,3.4340946674346924,0.47206906113003577,0.6090956054202731,0.05881041198757862,0.038868208219496395,13.19537000026703,0.0,
NORMALIZED_POV_L1,0,0,2,0.2857142857142857,1.0,18.819379806518555,11.85410783853531,0.47716796855171767,0.06081239750277566,1.0,1.0,0.0,2,0.020122310961596668,0.18399415095336735,3.549693136871619,4.969570159912109,4.969570636749268,0.47716796855171767,0.5975366650506716,0.06081239750277566,0.12343051501534108,11.85410783853531,0.0,
NORMALIZED_POV_L1,0,0,3,0.42857142857142855,1.0,19.131853103637695,10.472108286285401,0.4833618943963765,0.060324650323287335,1.0,1.0,0.0,3,0.03167571092490107,0.28068709798390046,2.9593722737290586,5.178901672363281,5.178901672363281,0.4833618943963765,0.6151371153820082,0.060324650323287335,0.11491209175038836,10.472108286285401,0.005112875730123978,
NORMALIZED_POV_L1,0,0,4,0.5714285714285714,1.0,19.530855178833008,8.848837178611756,0.47999002660643453,0.05897417830910494,1.0,1.0,0.0,2,0.02056027401704341,0.18488663400057703,3.845410436430802,8.972623825073242,8.972623825073242,0.47999002660643453,0.4862146822449289,0.05897417830910494,0.0998149511793242,8.848837178611756,0.0,
NORMALIZED_POV_L1,0,0,5,0.7142857142857143,1.0,21.419536590576172,6.987027388477325,0.470628474302382,0.04631708653591192,1.0,1.0,0.0,2,0.02055375394411385,0.18441258202074096,3.007896207039916,10.527636528015137,10.527636528015137,0.470628474302382,0.5428578698842104,0.04631708653591192,0.1333240492666643,6.987027388477325,0.0,
NORMALIZED_POV_L1,0,0,6,0.8571428571428571,1.0,23.940942764282227,3.233833734357357,0.46371907856751804,0.03049649774624502,1.0,1.0,0.0,2,0.019411824003327638,0.1835478990105912,4.562304147854599,31.93613052368164,31.93613052368164,0.46371907856751804,0.6961401424301307,0.03049649774624502,0.20326141114986376,3.233833734357357,0.0,
DAMPED_POV_L05,0,0,0,0.0,0.5,18.521711349487305,14.858668309116364,0.45995284070968484,0.05759409375512976,1.0,1.0,0.0,2,0.02033571805804968,0.1841385940206237,3.296261463642977,3.2962613105773926,1.6481306552886963,0.45995284070968484,0.557340788311154,0.05759409375512976,0.09190732968881872,14.858668309116364,0.0,
DAMPED_POV_L05,0,0,1,0.14285714285714285,0.5,18.524404525756836,12.612890463733674,0.4696669896230639,0.05819419380265674,1.0,1.0,0.0,2,0.020348058023955673,0.18397511000512168,3.42950477348053,4.001089096069336,2.000544548034668,0.4696669896230639,0.5641663276876543,0.05819419380265674,0.08429101599676982,12.612890463733674,0.0,
DAMPED_POV_L05,0,0,2,0.2857142857142857,0.5,18.6879825592041,10.919308226966859,0.4712944982785948,0.06054079781228559,1.0,1.0,0.0,3,0.02871602401137352,0.2739594529848546,2.562671817095431,3.587740421295166,1.7938703298568726,0.4712944982785948,0.3524974341709879,0.06054079781228559,0.060053258733117065,10.919308226966859,0.004154639142272654,
DAMPED_POV_L05,0,0,3,0.42857142857142855,0.5,18.782440185546875,8.988974851036073,0.4691207126238453,0.060970760232628055,1.0,1.0,0.0,2,0.02020262402947992,0.18371752300299704,3.867710781744503,6.76849365234375,3.384246826171875,0.4691207126238453,0.4916213315205275,0.060970760232628055,0.10917370038554633,8.988974851036073,0.0,
DAMPED_POV_L05,0,0,4,0.5714285714285714,0.5,19.239849090576172,6.836444300079346,0.4655381332485886,0.06046047885459539,1.0,1.0,0.0,2,0.01974456204334274,0.183421115973033,4.635167103524798,10.815389633178711,5.4076948165893555,0.4655381332485886,0.5466687214577906,0.06046047885459539,0.11024217545340767,6.836444300079346,0.004301871083782327,
DAMPED_POV_L05,0,0,5,0.7142857142857143,0.5,19.83403205871582,4.836642306709289,0.4683599226586313,0.06254215581845636,1.0,1.0,0.0,2,0.020512902061454952,0.1846331669948995,3.194014224630812,11.179049491882324,5.589524745941162,0.4683599226586313,0.603868443356408,0.06254215581845636,0.13879734282790335,4.836642306709289,0.0048102760412866985,
DAMPED_POV_L05,0,0,6,0.8571428571428571,0.5,18.771015167236328,2.8509825583934783,0.47172423187374524,0.06484376683168482,1.0,1.0,0.0,1,0.010533793014474213,0.0925288189901039,2.072847797694603,14.509934425354004,7.254967212677002,0.47172423187374524,0.46241222066697835,0.06484376683168482,0.06015895161850608,2.8509825583934783,0.0,
