method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,trajectory_distortion_vs_plain,projection_failure_rate
PLAIN_FM,0,0,0.0,0.0,0.0712830943149155,0.0,0.2648227032661436,3.9021146297454834,0.4667795981086212,3.2125233831537368,0.8903069096375384,0.0547209868745947,54.7209868745947,12386.080328951231,0.138122018751144,1.43700027116363,0.0880332630476914,0.0433215329539962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOAL_AWARE_FINAL_PROJECTION,0,0,0.0,0.0,0.0410570727008214,0.0,0.0,0.0,0.4655523086938126,2.5614427478670003,0.8182396501559387,0.0306716653597152,30.67166535971528,526.3127669160817,0.4529915198436172,2.128913457189414,0.1742280469625257,0.0424193619401194,0.0940353479818441,0.0105509239947423,1.0,0.0,2.392152455426575,2.392152547836304,0.0
NORMALIZED_POV_L1,0,0,0.0,0.0,0.2032614330448433,0.0,0.0,0.0,0.6961401951062752,2.571096576808608,0.6809870100453265,0.0458628928865358,45.86289288653589,927.7734042193232,0.998231172776592,3.17434577238629,1.523823550029192,0.0494000209728255,1.3865055019850845,0.1526116568129509,7.0,0.0,24.164447601525488,5.481190204620361,0.0
DAMPED_POV_L05,0,0,0.0,0.0,0.0434660739158818,0.0,0.0077457841873167,0.0,0.4488678787312162,2.72357705673799,0.8064615866400666,0.0254435883329011,25.44358833290117,3289.660777229476,0.2328239240979204,1.7687742602043532,1.4159563439898193,0.0490352229680866,1.2863737819716334,0.1403936812421307,7.0,0.0,23.05817796181365,1.3138694763183594,0.0
DAMPED_POV_L025,0,0,0.0,0.0,0.0477302885177503,0.0,0.0185878690719603,1.545943021774292,0.4496929611062177,2.9182876186463718,0.8351507410072827,0.0383314676669387,38.33146766693872,7797.169835677137,0.1363085995912888,1.5886716042621898,1.3270168289891444,0.0493149009998887,1.1968656229437329,0.1307184699689969,7.0,0.0,23.03810567711186,0.7383241653442383,0.0
PLAIN_FM,0,1,0.0,0.0,0.0542539540896924,0.0,0.2275168464660644,0.0,0.448154549978916,3.1815735877522284,0.8986559665992776,0.0476757359566516,47.675735956651614,10510.871320750486,0.1331795841682959,1.3733572617495895,0.0697924200212583,0.0436064599780365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOAL_AWARE_FINAL_PROJECTION,0,1,0.0,0.0,0.0482879171329593,1.1642945185741382e-07,0.0041544006347655,0.0,0.4362447985775984,2.623557092453491,0.8104777192909864,0.052008082143026,52.00808214302607,1186.8445655294602,0.6425782424284696,2.1263789216691023,0.2633035279577598,0.0426953160203993,0.1831555489916354,0.0191364560159854,1.0,0.0,3.1629518281052595,3.162951946258545,0.0
NORMALIZED_POV_L1,0,1,0.0,0.0,0.0281389801799057,0.0,0.0,0.0,0.4150810933067442,2.176289931351568,0.7830097955789123,0.0198655901298763,19.86559012987632,373.15780542330754,0.5176835352154792,1.92630263233844,1.6891114980098791,0.0487601329805329,1.5597790039610118,0.1661144039826467,7.0,0.0,24.547765160621765,2.541831493377685,0.0
DAMPED_POV_L05,0,1,0.0,0.0,0.0414762742407879,0.0,0.0712954566955565,0.0,0.463383245814334,2.5058999646546,0.7869690972108667,0.0349618182706135,34.96181827061351,4523.842061670535,0.4560989174184283,2.034028286788254,1.6838502530008554,0.0483269729302264,1.5549060979974456,0.1631816630251705,7.0,0.0,26.222094180483666,2.377143621444702,0.0
DAMPED_POV_L025,0,1,0.0,0.0,0.0291324326887409,0.0,0.1553976104736327,0.4918289184570312,0.4475727519227435,2.814069439142877,0.8236791448280328,0.0389426823701243,38.94268237012433,7674.706965317779,0.2321145785095105,1.6194325228170865,1.686068530951161,0.0481122569763101,1.5574437050381675,0.1655164430849254,7.0,0.0,25.03785419103552,1.0843427181243896,0.0
PLAIN_FM,0,2,0.0,0.0,0.068460926633557,0.0,0.2413833257198332,0.0,0.4507020561450803,3.2000971500175366,0.8754920496473305,0.0381100669690493,38.11006696904939,7002.454474949251,0.1521907542364697,1.4189390159689457,0.0699082229984924,0.0436279609566554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOAL_AWARE_FINAL_PROJECTION,0,2,0.0,0.0,0.0665940587248951,0.0,0.0,0.0,0.4686228892879898,2.715933796882378,0.8594911144367816,0.0372962508171584,37.2962508171584,665.6204620453218,0.494308022135435,2.000000473027739,0.1724060200504027,0.042647325026337,0.0924691669642925,0.0104195399908348,1.0,0.0,2.444248886059159,2.444248914718628,0.0
NORMALIZED_POV_L1,0,2,0.0,0.0,0.0316532786996967,1.1642945185741382e-07,0.0041544006347655,0.0,0.4639560052219474,2.562850619461637,0.7277288847302391,0.0469902999912084,46.99029999120841,1000.7627535242316,0.6925454929110302,2.507495523234852,1.8642077710246667,0.0482045490061864,1.7352845969144255,0.1837191809318028,7.0,0.0,19.21272829409753,3.6314096450805664,0.0
DAMPED_POV_L05,0,2,0.0,0.0,0.0364038818464211,0.0,0.0,0.0,0.4209330310494158,2.6245354962357537,0.8034059895028276,0.0224305972341852,22.43059723418528,2601.350240965705,0.2708319781914298,1.747974235558358,1.6985005550086498,0.0510165339219383,1.566372009983752,0.1677158090169541,7.0,0.0,18.364378007544357,1.453846096992493,0.0
DAMPED_POV_L025,0,2,0.0,0.0,0.0517516924105353,0.0,0.0659906433105468,0.0,0.4301603459331698,2.948904097640197,0.8422835186136575,0.028773784162817,28.77378416281704,4324.242031536252,0.1659415787585501,1.5617311339671496,1.6952979629859328,0.0508070869254879,1.5633180290460589,0.1679376540705561,7.0,0.0,18.408183074676742,0.7354280352592468,0.0
