subset,calibration,quantile,split,n_traj,v_max,a_max,speed_elem_rate,speed_traj_rate,speed_max_excess,acc_elem_rate,acc_traj_rate,acc_max_excess,any_traj_rate
eth,traj,99.0,train,29809,1.7391906343181582,2.041169720558537,0.0033546915361132544,0.0098963400315341,0.7458255250860395,0.0008498551891486911,0.009829246200811836,1.7218285853140536,0.018383709617900635
eth,traj,99.0,val,5349,1.7391906343181582,2.041169720558537,0.003443011154732972,0.01252570573939054,0.7589767564905516,0.0013398142955069483,0.011777902411665733,1.766595628451959,0.01962983735277622
eth,traj,99.0,test,181,1.7391906343181582,2.041169720558537,0.27071823204419887,0.43646408839779005,2.162411600661722,0.06583793738489871,0.34806629834254144,4.8536879647022655,0.56353591160221
eth,traj,99.5,train,29809,1.8220384360654973,2.3361123053322976,0.0015822961745334183,0.004998490388808749,0.6629777233387004,0.0003885851029331186,0.004663021235197424,1.4268860005402928,0.00909121406286692
eth,traj,99.5,val,5349,1.8220384360654973,2.3361123053322976,0.0011840219355642799,0.0061693774537296695,0.6761289547432126,0.0010593880476101453,0.009160590764628903,1.4716530436781983,0.013273509067115349
eth,traj,99.5,test,181,1.8220384360654973,2.3361123053322976,0.26703499079189685,0.43646408839779005,2.079563798914383,0.05847145488029466,0.3425414364640884,4.558745379928505,0.56353591160221
eth,traj,99.9,train,29809,2.106805060393581,2.9548446051569175,0.00013698323772462454,0.0008386728840283136,0.3782110990106169,6.988940700235946e-05,0.0008386728840283136,0.8081537007156729,0.0012747827837230367
eth,traj,99.9,val,5349,2.106805060393581,2.9548446051569175,7.789617997133421e-05,0.0009347541596560105,0.391362330415129,0.00017137159593693524,0.002056459151243223,0.8529207438535784,0.0029912133108992334
eth,traj,99.9,test,181,2.106805060393581,2.9548446051569175,0.19429097605893186,0.4198895027624309,1.7947971745862996,0.02440147329650092,0.18232044198895028,3.9400130801038853,0.430939226519337
eth,elem,99.0,train,29809,1.6301716384748683,1.2004426267006751,0.010002571930177687,0.022778355530209,0.8548445209293294,0.009988594048777215,0.09728605454728438,2.5625556791719153,0.11261699486732195
eth,elem,99.0,val,5349,1.6301716384748683,1.2004426267006751,0.009176170000623169,0.0267339689661619,0.8679957523338415,0.012541284975384807,0.11871377827631333,2.6073227223098208,0.13666105814170873
eth,elem,99.0,test,181,1.6301716384748683,1.2004426267006751,0.28314917127071826,0.44751381215469616,2.271430596505012,0.21086556169429096,0.7292817679558011,5.694415058560128,0.7513812154696132
eth,elem,99.5,train,29809,1.6983375143062704,1.4276790879343326,0.00499289923624856,0.014290985943842463,0.7866786450979273,0.00499289923624856,0.052702204032339224,2.335319217938258,0.06303465396356805
eth,elem,99.5,val,5349,1.6983375143062704,1.4276790879343326,0.005187885586090858,0.01701252570573939,0.7998298765024394,0.00655885835358634,0.06375023368853991,2.3800862610761633,0.07384557861282483
eth,elem,99.5,test,181,1.6983375143062704,1.4276790879343326,0.27440147329650094,0.43646408839779005,2.20326472067361,0.14732965009208104,0.6022099447513812,5.46717859732647,0.6629834254143646
eth,elem,99.9,train,29809,1.8901318075732172,1.966183843451576,0.0010008163082737876,0.0032875977053909893,0.5948843518309805,0.0009952251557135989,0.011540138884229596,1.7968144624210145,0.013854876044147741
eth,elem,99.9,val,5349,1.8901318075732172,1.966183843451576,0.0005608524957936063,0.003925967470555244,0.6080355832354927,0.0014956066554496167,0.013647410730977753,1.84158150555892,0.016451673209945783
eth,elem,99.9,test,181,1.8901318075732172,1.966183843451576,0.25,0.430939226519337,2.011470427406663,0.07458563535911603,0.36464088397790057,4.928673841809227,0.5580110497237569
hotel,traj,99.0,train,29152,1.7391906343181582,2.0978026077898804,0.003967709476765459,0.009947859495060373,2.162411600661722,0.0009719173069886571,0.009982162458836444,4.797055077470922,0.0178718441273326
hotel,traj,99.0,val,5136,1.7391906343181582,2.0978026077898804,0.007934190031152647,0.01674454828660436,1.825304421085903,0.0013467030114226377,0.0095404984423676,2.6931393663943206,0.0190809968847352
hotel,traj,99.0,test,1053,1.7391906343181582,2.0978026077898804,0.01052548274770497,0.06267806267806268,0.6038842684538395,0.0034821145932257044,0.026590693257359924,1.66519569808271,0.08262108262108261
hotel,traj,99.5,train,29152,1.8510371585176946,2.383154586100108,0.001992430479326747,0.0050082327113062566,2.0505650764621857,0.0005088272960117087,0.004768111964873765,4.511703099160695,0.008507135016465422
hotel,traj,99.5,val,5136,1.8510371585176946,2.383154586100108,0.005451713395638629,0.010708722741433021,1.7134578968863667,0.0012169003115264797,0.0095404984423676,2.4077873880840928,0.01557632398753894
hotel,traj,99.5,test,1053,1.8510371585176946,2.383154586100108,0.0038778094333649887,0.027540360873694207,0.49203774425430313,0.0026115859449192783,0.020892687559354226,1.3798437197724822,0.042735042735042736
hotel,traj,99.9,train,29152,2.3556821729596686,3.0735647692256243,0.000202959202341749,0.000823271130625686,1.5459200620202118,7.146450786681302e-05,0.0007203622392974753,3.8212929160351785,0.0013378155872667398
hotel,traj,99.9,val,5136,2.3556821729596686,3.0735647692256243,0.0019145898234683282,0.006425233644859813,1.2088128824443927,0.00047053478712357215,0.004672897196261682,1.7173772049585767,0.008566978193146417
hotel,traj,99.9,test,1053,2.3556821729596686,3.0735647692256243,0.0,0.0,0.0,7.913896802785692e-05,0.000949667616334283,0.6894335366469662,0.000949667616334283
hotel,elem,99.0,train,29152,1.6341553055018998,1.202123934178569,0.009999313940724478,0.021405049396267837,2.2674469294779804,0.009993596780095133,0.09584248079034029,5.692733751082233,0.10997530186608123
hotel,elem,99.0,val,5136,1.6341553055018998,1.202123934178569,0.013353452751817237,0.030763239875389408,1.9303397499021615,0.012980269989615784,0.11214953271028037,3.588818040005632,0.1292834890965732
hotel,elem,99.0,test,1053,1.6341553055018998,1.202123934178569,0.030231085786641344,0.09781576448243115,0.7089195972700979,0.039886039886039885,0.2611585944919278,2.5608743716940214,0.2972459639126306
hotel,elem,99.5,train,29152,1.7096572938750034,1.4375000000000027,0.0049967983900475665,0.013103732162458836,2.191944941104877,0.004959636845956824,0.04973929747530187,5.4573576852608,0.05862376509330406
hotel,elem,99.5,val,5136,1.7096572938750034,1.4375000000000027,0.008631879543094497,0.018691588785046728,1.8548377615290579,0.006879543094496366,0.05821651090342679,3.3534419741841983,0.06503115264797507
hotel,elem,99.5,test,1053,1.7096572938750034,1.4375000000000027,0.014245014245014245,0.0731244064577398,0.6334176088969943,0.021209243431465654,0.1728395061728395,2.3254983058725878,0.2174738841405508
hotel,elem,99.9,train,29152,1.994053660260925,2.0948331153698088,0.0009947859495060374,0.002881448957189901,1.9075485747189556,0.0009890687888766923,0.010187980241492865,4.800024569890994,0.011731613611416026
hotel,elem,99.9,val,5136,1.994053660260925,2.0948331153698088,0.004315939771547248,0.007982866043613706,1.5704413951431364,0.0013467030114226377,0.0095404984423676,2.696108858814392,0.01382398753894081
hotel,elem,99.9,test,1053,1.994053660260925,2.0948331153698088,0.0011079455523899967,0.008547008547008548,0.3490212425110728,0.0034821145932257044,0.026590693257359924,1.6681651905027817,0.03133903133903134
univ,traj,99.0,train,9231,1.8746498910433051,2.347544012500086,0.004468638284042899,0.010074748131296718,2.0269523439365753,0.0012006644278337486,0.009316433755822771,4.547313672760717,0.016791246885494528
univ,traj,99.0,val,2708,1.8746498910433051,2.347544012500086,0.009939684884293452,0.019202363367799114,1.6898451643607562,0.0023387493845396356,0.017355982274741506,2.443397961684115,0.027326440177252585
univ,traj,99.0,test,24334,1.8746498910433051,2.347544012500086,0.0005650530122462399,0.0027944439878359495,0.6235174997654047,0.0003869756992959097,0.004314950275334922,1.46022133651041,0.0063696885016848856
univ,traj,99.5,train,9231,2.088175713990562,2.617916931932708,0.0018867583865958906,0.004874878128046799,1.8134265209893186,0.0007131766150290687,0.0044415556277759725,4.276940753328095,0.007041490629400932
univ,traj,99.5,val,2708,2.088175713990562,2.617916931932708,0.007631708517971443,0.01624815361890694,1.4763193414134994,0.0010155096011816838,0.006277695716395864,2.173025042251493,0.016986706056129987
univ,traj,99.5,test,24334,2.088175713990562,2.617916931932708,0.0001232842935809978,0.0009862743486479823,0.40999167681814797,0.0002568422782937454,0.0027533492233089503,1.1898484170777879,0.0032464863976329416
univ,traj,99.9,train,9231,2.609717417652724,3.5942143924452408,0.00010833062506770663,0.0009749756256093598,1.2918848173271567,0.00012638572924565775,0.0010833062506770664,3.300643292815562,0.0014082981258801864
univ,traj,99.9,val,2708,2.609717417652724,3.5942143924452408,0.0009539635647464303,0.005539143279172821,0.9547776377513375,0.00018463810930576072,0.0022156573116691287,1.1967275817389602,0.005539143279172821
univ,traj,99.9,test,24334,2.609717417652724,3.5942143924452408,0.0,0.0,0.0,3.767020081641599e-05,0.00045204240979699185,0.21355095656525513,0.00045204240979699185
univ,elem,99.0,train,9231,1.7298695881905035,1.2420794371234878,0.010002527714584913,0.02513270501570794,2.171732646789377,0.009984472610406962,0.0782147112988842,5.652778248137315,0.09370599068356625
univ,elem,99.0,val,2708,1.7298695881905035,1.2420794371234878,0.011816838995568686,0.02621861152141802,1.8346254672135578,0.01932545544066962,0.1329394387001477,3.548862537060713,0.14032496307237813
univ,elem,99.0,test,24334,1.7298695881905035,1.2420794371234878,0.002195145338483877,0.0074381523793868665,0.7682978026182063,0.00890729021122709,0.09291526259554533,2.565685911887008,0.09640831758034027
univ,elem,99.5,train,9231,1.842632087981841,1.4496766880929028,0.005001263857292456,0.011591376882244611,2.0589701469980395,0.004965153648936555,0.04203228252627018,5.4451809971679,0.0488571119055357
univ,elem,99.5,val,2708,1.842632087981841,1.4496766880929028,0.010032003938946332,0.019202363367799114,1.7218629674222203,0.011416789758739537,0.08234859675036928,3.341265286091298,0.08530280649926145
univ,elem,99.5,test,24334,1.842632087981841,1.4496766880929028,0.0008492918002246514,0.0032464863976329416,0.6555353028268689,0.005013561272293909,0.053135530533410046,2.358088660917593,0.054697131585436015
univ,elem,99.9,train,9231,2.292915747470891,2.375822226093538,0.0009930307297873109,0.003683241252302026,1.6086864875089892,0.0009478929693424331,0.007149821254468639,4.519035459167265,0.008666450005416531
univ,elem,99.9,val,2708,2.292915747470891,2.375822226093538,0.005016001969473166,0.013663220088626292,1.27157930793317,0.0023387493845396356,0.017355982274741506,2.415119748090663,0.024372230428360415
univ,elem,99.9,test,24334,2.292915747470891,2.375822226093538,4.7943891948165804e-05,0.0005753267033779897,0.20525164333781865,0.0003869756992959097,0.004314950275334922,1.431943122916958,0.004356045039861921
zara1,traj,99.0,train,28010,1.763709762414425,2.1321062246344553,0.003358919433535642,0.010032131381649411,2.1378924725654556,0.0009788170891348329,0.009996429846483398,4.7627514606263475,0.01820778293466619
zara1,traj,99.0,val,5118,1.763709762414425,2.1321062246344553,0.007571316920672137,0.017389605314576007,1.8007852929896364,0.0019538882375928096,0.013872606486908948,2.6588357495497457,0.02481438061742868
zara1,traj,99.0,test,2253,1.763709762414425,2.1321062246344553,0.00306998076638556,0.005326231691078562,0.3066623206904482,0.00036987720076934457,0.004438526409232135,0.4858107072982527,0.009764758100310697
zara1,traj,99.5,train,28010,1.875,2.375822226093538,0.001805902653814114,0.004998214923241699,2.0266022349798805,0.0005265976436986791,0.004926811852909675,4.519035459167265,0.008604069975008925
zara1,traj,99.5,val,5118,1.875,2.375822226093538,0.005682558290999088,0.013091051191871825,1.6894950554040613,0.0017422170118535885,0.013677217663149667,2.415119748090663,0.020906604142243063
zara1,traj,99.5,test,2253,1.875,2.375822226093538,0.0009246930019233614,0.001775410563692854,0.19537208310487308,0.00036987720076934457,0.004438526409232135,0.24209470583917003,0.006213936972924989
zara1,traj,99.9,train,28010,2.3556821729596686,3.0735647692256243,0.0002112340830655718,0.0008568368439842913,1.5459200620202118,7.73533261930263e-05,0.000785433773652267,3.8212929160351785,0.0014280614066404856
zara1,traj,99.9,val,5118,2.3556821729596686,3.0735647692256243,0.0019213234336329294,0.006447831184056272,1.2088128824443927,0.00047218965741826233,0.004689331770222743,1.7173772049585767,0.008597108245408363
zara1,traj,99.9,test,2253,2.3556821729596686,3.0735647692256243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zara1,elem,99.0,train,28010,1.641478792126173,1.2337672554517722,0.009984529334761395,0.02270617636558372,2.2601234428537076,0.009993454718552898,0.0943948589789361,5.661090429809031,0.10835415922884684
zara1,elem,99.0,val,5118,1.641478792126173,1.2337672554517722,0.014279666536407451,0.03438843298163345,1.9230162632778882,0.014751856193825713,0.1201641266119578,3.557174718732429,0.13872606486908948
zara1,elem,99.0,test,2253,1.641478792126173,1.2337672554517722,0.008359224737387188,0.014647137150466045,0.4288932909787,0.004808403610001479,0.052374611628939194,1.3841496764809358,0.06657789613848203
