t,dt,delta,mean_abs_change_m,path
0.0,0.05,0.1,0.035668356707123094,sampler
0.0,0.05,0.5,0.18747952590560057,sampler
0.0,0.05,1.0,0.4813849550448568,sampler
0.05,0.05,0.1,0.035807127790534965,sampler
0.05,0.05,0.5,0.18942402408598724,sampler
0.05,0.05,1.0,0.4997409213908197,sampler
0.1,0.05,0.1,0.03769470134811459,sampler
0.1,0.05,0.5,0.20096270868638344,sampler
0.1,0.05,1.0,0.5633522725070392,sampler
0.15000000000000002,0.05,0.1,0.04024692243405448,sampler
0.15000000000000002,0.05,0.5,0.21720542378320307,sampler
0.15000000000000002,0.05,1.0,0.6456500559014522,sampler
0.2,0.05,0.1,0.042412958926046906,sampler
0.2,0.05,0.5,0.23031541049691429,sampler
0.2,0.05,1.0,0.7203235577229918,sampler
0.25,0.05,0.1,0.04442949291060272,sampler
0.25,0.05,0.5,0.2425068785760276,sampler
0.25,0.05,1.0,0.8408569567563582,sampler
0.30000000000000004,0.05,0.1,0.04770409691209143,sampler
0.30000000000000004,0.05,0.5,0.2656630752605067,sampler
0.30000000000000004,0.05,1.0,0.9634620665683453,sampler
0.35000000000000003,0.05,0.1,0.051737409332775375,sampler
0.35000000000000003,0.05,0.5,0.2913946507432099,sampler
0.35000000000000003,0.05,1.0,1.1722048702597974,sampler
0.4,0.05,0.1,0.057748832025039665,sampler
0.4,0.05,0.5,0.32834686303395255,sampler
0.4,0.05,1.0,1.3691683023327492,sampler
0.45,0.05,0.1,0.0626179284456706,sampler
0.45,0.05,0.5,0.3656305842503009,sampler
0.45,0.05,1.0,1.6654172723990435,sampler
0.5,0.05,0.1,0.07061868581087749,sampler
0.5,0.05,0.5,0.4250797399285249,sampler
0.5,0.05,1.0,2.1020710120317787,sampler
0.55,0.05,0.1,0.08134606823629431,sampler
0.55,0.05,0.5,0.5019614542866675,sampler
0.55,0.05,1.0,2.5699455849842394,sampler
0.6000000000000001,0.05,0.1,0.0928226213953931,sampler
0.6000000000000001,0.05,0.5,0.6117089002978897,sampler
0.6000000000000001,0.05,1.0,3.2533638651183736,sampler
0.65,0.05,0.1,0.10861413592841451,sampler
0.65,0.05,0.5,0.7620668904569889,sampler
0.65,0.05,1.0,3.9651807688730543,sampler
0.7000000000000001,0.05,0.1,0.12338640963065739,sampler
0.7000000000000001,0.05,0.5,0.9701303795257417,sampler
0.7000000000000001,0.05,1.0,4.869326694012059,sampler
0.75,0.05,0.1,0.14899714455277824,sampler
0.75,0.05,0.5,1.3381379456781737,sampler
0.75,0.05,1.0,5.802718674888979,sampler
0.8,0.05,0.1,0.17064926330632968,sampler
0.8,0.05,0.5,1.8187142223282606,sampler
0.8,0.05,1.0,6.765055286418374,sampler
0.8500000000000001,0.05,0.1,0.19757772257741468,sampler
0.8500000000000001,0.05,0.5,2.5525505414722858,sampler
0.8500000000000001,0.05,1.0,7.7612975265894875,sampler
0.9,0.05,0.1,0.2373003045372335,sampler
0.9,0.05,0.5,3.4044318078305693,sampler
0.9,0.05,1.0,8.80060079125002,sampler
0.9500000000000001,0.05,0.1,0.36885362934099497,sampler
0.9500000000000001,0.05,0.5,4.362073123933058,sampler
0.9500000000000001,0.05,1.0,9.807111301200194,sampler
0.9,,0.1,0.23532132238837855,analytic
0.9,,0.5,3.4198443816845696,analytic
0.9,,1.0,8.77829533492752,analytic
0.95,,0.1,0.36033765361939274,analytic
0.95,,0.5,4.378987868995722,analytic
0.95,,1.0,9.815343647910822,analytic
0.98,,0.1,0.695548032339623,analytic
0.98,,0.5,5.04538710472967,analytic
0.98,,1.0,10.44129299307022,analytic
0.99,,0.1,0.8861377970836788,analytic
0.99,,0.5,5.240765838743144,analytic
0.99,,1.0,10.773730443528251,analytic
0.999,,0.1,1.0747203862642056,analytic
0.999,,0.5,5.452066909622758,analytic
0.999,,1.0,10.932587721514949,analytic
