method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,optimizer_latency_sec,trajectory_distortion_vs_plain,projection_failure_rate
L05_NO_REPLACE,0,7,0.0,0.0,0.04147466491885886,0.0,0.03983970146179194,0.0,0.4376819239519104,2.803469969499293,0.8181401044652626,0.026069095782875085,26.06909578287508,2241.9215439986037,0.16784129660857022,1.6202093663626262,0.5872062309645116,0.04524659301387146,0.4629297149949707,0.04798956390004605,3.0,0.0,4.485725189115535,0.4629297149949707,0.8986641764640808,0.0
PLAIN_FM,0,8,0.0,0.0,0.06493468607751472,0.0,0.33966855373382554,1.3835203647613525,0.4525520510612393,3.183833300789873,0.8632210541042896,0.04204791911927297,42.04791911927297,8486.41914696826,0.15207109830735113,1.4250701717156975,0.06964922702172771,0.04376782407052815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,0,8,0.0,0.0,0.04184802768396252,0.0,0.0,0.0,0.4297147051834336,2.50279299958632,0.7665654870799924,0.027248790258962347,27.248790258962345,481.73402768210553,0.32462510340527917,1.8921862335073347,0.5885453459923156,0.04456315597053617,0.46474922209745273,0.05049226101255044,3.0,0.0,4.46631194877496,0.46474922209745273,1.6901698112487793,0.0
L1_NO_REPLACE,0,8,0.0,0.0,0.03459424061814416,0.0,0.0,0.0,0.43234742818508864,2.4398781148731925,0.744506958195036,0.022418681987334765,22.418681987334764,395.36640552284007,0.33928003047812305,1.893794639720602,0.4925323750358075,0.045819889055565,0.36917985102627426,0.0419191459659487,3.0,0.0,4.703002477346952,0.36917985102627426,1.7810933589935303,0.0
L05_REPLACE,0,8,0.0,0.0,0.033880276364465264,0.0,0.0,0.0,0.4204300795782743,2.531313872538869,0.7809197172685399,0.028866969971309386,28.866969971309388,517.9458067947396,0.32669096143581405,1.8693079682064748,0.49252987501677126,0.04577917593996972,0.36906597996130586,0.041941986070014536,3.0,0.0,4.9745866652248205,0.36906597996130586,1.6844083070755005,0.0
L05_NO_REPLACE,0,8,0.0,0.0,0.035204538760441745,0.0,0.05999044742584214,0.0,0.4341888263578175,2.7795462712658745,0.7911747192520775,0.02508503197257761,25.08503197257761,2842.753173415869,0.1880290825266579,1.647652692305172,0.4939339999691583,0.045708726975135505,0.370689032075461,0.04204545996617526,3.0,0.0,4.9745866652248205,0.370689032075461,0.9547829031944275,0.0
PLAIN_FM,0,9,0.0,0.0,0.07364178948492252,0.0,0.265439536833763,2.3151707649230957,0.43765586741901186,3.256729275238188,0.8856193737404882,0.046621832619168274,46.62183261916827,9462.503938171189,0.19171428829971937,1.3980998517975012,0.06875113199930638,0.04327648103935644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_REPLACE,0,9,0.0,0.0,0.03462297830601066,0.0,0.0,0.0,0.4002942838638704,2.4679292576458636,0.7894446731707992,0.027377869347760198,27.377869347760203,502.85144533545764,0.34683923464956057,1.8767510756765593,0.5834752609953284,0.04432299901964143,0.46143994299927726,0.05174454191001132,3.0,0.0,5.565381183175985,0.46143994299927726,1.9505620002746582,0.0
L1_NO_REPLACE,0,9,0.0,0.0,0.03212729217664108,0.0,0.0,0.0,0.4022635547283195,2.4904015548907963,0.7891947508021647,0.02770809873802102,27.70809873802102,507.1264343921523,0.33841987994174416,1.8455409138066436,0.5839199220063165,0.045235274941660464,0.4611795859527774,0.05171372496988624,3.0,0.0,5.273595771073738,0.4611795859527774,1.8994405269622803,0.0
L05_REPLACE,0,9,0.0,0.0,0.034480622463222754,0.0,0.0,0.0,0.40536721119999786,2.5268403675910607,0.791949301961958,0.026633299604416447,26.63329960441645,488.71928489979814,0.33373856363965815,1.823458332858432,0.5756047529866919,0.04560204083099961,0.4538083640509285,0.05252069403650239,3.0,0.0,5.228398795296096,0.4538083640509285,1.8430172204971313,0.0
