method,task_id,seed,collision,success,min_clearance,joint_limit_violation,velocity_violation,acceleration_violation,terminal_goal_error,joint_path_length,ee_path_length,smoothness,acceleration_cost,jerk_cost,reference_distance,terminal_joint_error,planning_latency_sec,fm_latency_sec,projection_latency_sec,projection_solver_latency_sec,projection_calls,failed_projection_solves,projection_correction_sum,optimizer_latency_sec,safety_trigger_latency_sec,trajectory_distortion_vs_plain,projection_failure_rate
PLAIN_FM,0,0,0.0,0.0,0.07128309431491557,0.0,0.26482270326614366,3.9021146297454834,0.4667795981086212,3.2125233831537368,0.8903069096375384,0.0547209868745947,54.7209868745947,12386.080328951233,0.13812201875114405,1.43700027116363,0.09029384300811216,0.043656714900862426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,0,0.0,0.0,0.04346607391588182,0.0,0.007745784187316751,0.0,0.4488678787312162,2.72357705673799,0.8064615866400666,0.025443588332901168,25.44358833290117,3289.6607772294756,0.23282392409792044,1.7687742602043532,1.4490609369822778,0.04873606201726943,1.3113207949209027,0.14398848603013903,7.0,0.0,23.058177961813655,1.3113207949209027,0.0,1.3138694763183594,0.0
YFLOW_MAIN_PORT,0,0,0.0,0.0,0.03621304935841921,0.0,0.00033484067916855764,0.0,0.42710660202425876,2.4821591158196874,0.7664561145033707,0.027080635940691298,27.080635940691298,472.49263741404013,0.3152667022638966,1.8888853228461016,0.4636270540067926,0.04561076499521732,0.36675089900381863,0.03957477287622169,3.0,0.0,4.700293914302599,0.36675089900381863,0.0,1.7213491201400757,0.0
HYBRID_LATE_DAMPED,0,0,0.0,0.0,0.0426355492335191,0.0,0.019342165851592874,0.0,0.4320710459588303,2.8152697804061955,0.8155816669082684,0.028199771085189784,28.199771085189788,3374.951250234581,0.16730136770219547,1.6404525735662439,0.5529004720156081,0.04579168907366693,0.4559962359489873,0.047450679063331336,3.0,0.0,4.768005288139589,0.4559962359489873,0.0,0.9392443895339966,0.0
HYBRID_LATE_ADAPTIVE,0,0,0.0,0.0,0.0426355492335191,0.0,0.019342165851592874,0.0,0.4320710459588303,2.8152697804061955,0.8155816669082684,0.028199771085189784,28.199771085189788,3374.951250234581,0.16730136770219547,1.6404525735662439,0.5521161530050449,0.04571508488152176,0.4554372899583541,0.04729805496754125,3.0,0.0,4.768005288139589,0.4554372899583541,0.010847349010873586,0.9392443895339966,0.0
ADAPTIVE_ALLTIME_L05,0,0,0.0,0.0,0.03780666517391215,0.0,0.0031285103797911162,0.0,0.45654723775206346,2.7211992396589597,0.7769890860331936,0.025263172032188752,25.26317203218875,3444.3205296525557,0.17973020216619962,1.6814063360019365,1.3307522929972038,0.049780676898080856,1.1965771290124394,0.129544347000774,7.0,0.0,17.259989390418536,1.1965771290124394,0.02548085292801261,1.0542409420013428,0.0
PLAIN_FM,0,1,0.0,0.0,0.0542539540896924,0.0,0.2275168464660644,0.0,0.448154549978916,3.1815735877522284,0.8986559665992776,0.047675735956651616,47.675735956651614,10510.871320750486,0.1331795841682959,1.3733572617495895,0.07042148901382461,0.044025793904438615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,1,0.0,0.0,0.04147627424078798,0.0,0.07129545669555659,0.0,0.463383245814334,2.5058999646546,0.7869690972108667,0.03496181827061351,34.96181827061351,4523.842061670535,0.45609891741842834,2.034028286788254,1.6951977480202913,0.04950807901332155,1.5624754519667476,0.16679985087830573,7.0,0.0,26.22209418048407,1.5624754519667476,0.0,2.377143621444702,0.0
YFLOW_MAIN_PORT,0,1,0.0,0.0,0.02879344919263732,0.0,0.0,0.0,0.4388548347501728,2.338793910501121,0.7393670337936419,0.020592608115666218,20.59260811566622,332.4824322676963,0.36171708303001504,1.8608553333860174,0.5551048699999228,0.046855403925292194,0.4567307960242033,0.04688386601628736,3.0,0.0,4.5891976148137426,0.4567307960242033,0.0,1.7703981399536133,0.0
HYBRID_LATE_DAMPED,0,1,0.0,0.0,0.03209713838407728,0.0,0.0032781180381773467,0.0,0.4429368159317832,2.6848835230598422,0.7826181312219846,0.0220861489989157,22.086148998915704,3071.397458634828,0.2069535261542713,1.6396089025359768,0.4684580269968137,0.04613613692345098,0.3707443899475038,0.040699071949347854,3.0,0.0,5.17392462029959,0.3707443899475038,0.0,1.0166810750961304,0.0
HYBRID_LATE_ADAPTIVE,0,1,0.0,0.0,0.03209713838407728,0.0,0.0032781180381773467,0.0,0.4429368159317832,2.6848835230598422,0.7826181312219846,0.0220861489989157,22.086148998915704,3071.397458634828,0.2069535261542713,1.6396089025359768,0.4668566879699938,0.04617659596260637,0.36920882196864113,0.03997544199228287,3.0,0.0,5.17392462029959,0.36920882196864113,0.010920522036030889,1.0166810750961304,0.0
ADAPTIVE_ALLTIME_L05,0,1,0.0,0.0,0.03149529484121426,0.0,0.00957961540222163,0.0,0.4513894377627421,2.661907056516387,0.7704812318150197,0.022592835711706782,22.592835711706783,3390.070451141546,0.21641419759575248,1.639390570244948,1.6995122240041383,0.049653302936349064,1.5654067719588056,0.16778227896429598,7.0,0.0,15.702990182624582,1.5654067719588056,0.02551794395549223,1.0515990257263184,0.0
PLAIN_FM,0,2,0.0,0.0,0.06846092663355709,0.0,0.24138332571983323,0.0,0.4507020561450803,3.2000971500175366,0.8754920496473305,0.038110066969049394,38.11006696904939,7002.454474949251,0.15219075423646974,1.4189390159689457,0.06949822703609243,0.043205532943829894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,2,0.0,0.0,0.03640388184642117,0.0,0.0,0.0,0.4209330310494158,2.6245354962357537,0.8034059895028276,0.02243059723418528,22.430597234185278,2601.350240965705,0.2708319781914298,1.747974235558358,1.691256561956834,0.04744055005721748,1.5625251439632848,0.16826389089692384,7.0,0.0,18.364378007408234,1.5625251439632848,0.0,1.4538460969924927,0.0
YFLOW_MAIN_PORT,0,2,0.0,0.0,0.03380213327809391,0.0,0.003077846431732034,0.0,0.40789193037554333,2.465949261121494,0.7849558066653722,0.026558104232000668,26.558104232000666,500.0220582513981,0.3337924572994208,1.8481628146285678,0.5579538940219209,0.04500870808260515,0.46170753199839965,0.049573092022910714,3.0,0.0,4.950014771479598,0.46170753199839965,0.0,1.7668850421905518,0.0
HYBRID_LATE_DAMPED,0,2,0.0,0.0,0.03958284218662177,0.0,0.021853607559203958,0.0,0.4445581716992197,2.7031032197921196,0.7656317691231216,0.018498648023301117,18.49864802330112,1898.9719851905172,0.20475702486354924,1.6785036399605207,0.552176651021,0.04506456997478381,0.4560709619545378,0.047521020052954555,3.0,0.0,5.203761511957781,0.4560709619545378,0.0,1.1550837755203247,0.0
HYBRID_LATE_ADAPTIVE,0,2,0.0,0.0,0.03958284218662177,0.0,0.021853607559203958,0.0,0.4445581716992197,2.7031032197921196,0.7656317691231216,0.018498648023301117,18.49864802330112,1898.9719851905172,0.20475702486354924,1.6785036399605207,0.5527474859845825,0.0448827370419167,0.4567675309954211,0.047815648082178086,3.0,0.0,5.203761511957781,0.4567675309954211,0.0109046510187909,1.1550837755203247,0.0
ADAPTIVE_ALLTIME_L05,0,2,0.0,0.0,0.03900793488451666,0.0,0.028361038970947217,0.0,0.42477906545951344,2.765660114205794,0.799806601318316,0.022865061689374876,22.865061689374876,2026.3600119609155,0.1887758859759464,1.6356717972732866,1.514328840014059,0.04811671399511397,1.381821576913353,0.15093757980503142,7.0,0.0,15.18012742210517,1.381821576913353,0.02571727690519765,1.0189943313598633,0.0
PLAIN_FM,0,3,0.0,0.0,0.07206453917989504,0.0,0.2089800056457518,2.84456729888916,0.45921352991696374,3.2012565841264995,0.9058163467177829,0.04113670616714238,41.13670616714238,7680.173216384212,0.12849558717346254,1.4480022872149885,0.06976187397958711,0.0433910500141792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POV_L05_ALWAYS,0,3,0.0,0.0,0.04033212320238547,0.0,0.004961055183410501,0.0,0.437878843854277,2.7495447342682287,0.8356454749710753,0.024212086031579205,24.212086031579204,2471.0082215965376,0.2646479532459175,1.8039764615258749,1.2370369039708748,0.0473419091431424,1.108043667045422,0.12352077988907695,7.0,0.0,20.053943942842377,1.108043667045422,0.0,1.4238523244857788,0.0
YFLOW_MAIN_PORT,0,3,0.0,0.0,0.036597800243248976,0.0,0.0,0.0,0.422728214437346,2.4476272900650273,0.779387570544906,0.026261799674291007,26.26179967429101,508.7355618395087,0.33583094574888095,1.891598319585244,0.46052846597740427,0.04454539797734469,0.36500637099379674,0.038326771988067776,3.0,0.0,4.735289555958291,0.36500637099379674,0.0,1.7815312147140503,0.0
HYBRID_LATE_DAMPED,0,3,0.0,0.0,0.04258051322639686,0.0,0.04103482928276048,0.0,0.43307947873440944,2.775312181697847,0.8249408939783237,0.022007408708188958,22.007408708188958,1985.6266918143683,0.1736084480367795,1.656656634980974,0.5518212149618194,0.04474556999048218,0.4557182970456779,0.04681368300225586,3.0,0.0,5.016717858447409,0.4557182970456779,0.0,0.9831725358963013,0.0
HYBRID_LATE_ADAPTIVE,0,3,0.0,0.0,0.04258051322639686,0.0,0.04103482928276048,0.0,0.43307947873440944,2.775312181697847,0.8249408939783237,0.022007408708188958,22.007408708188958,1985.6266918143683,0.1736084480367795,1.656656634980974,0.5508964029722847,0.044670420000329614,0.455269466037862,0.046738189936149865,3.0,0.0,5.016717858447409,0.455269466037862,0.010875370004214346,0.9831725358963013,0.0
ADAPTIVE_ALLTIME_L05,0,3,0.0,0.0,0.038681290844277766,0.0,0.0034494813919065948,0.0,0.4435682552870116,2.7256344420661276,0.8047644699301723,0.021696659713835387,21.696659713835388,2264.2650345594543,0.1885874750077911,1.6915247709469687,1.2324146030005068,0.04763717600144446,1.100691739062313,0.12052670709090307,7.0,0.0,16.617178423509905,1.100691739062313,0.02578386099776253,1.0768961906433105,0.0
PLAIN_FM,0,4,0.0,0.0,0.07344253612534968,0.0,0.31594977941513047,1.2879979610443115,0.4554710032326637,3.227788364615522,0.8601428529939373,0.04661211657227504,46.61211657227504,10484.056012830557,0.15879118864958097,1.4085414392819284,0.06967073096893728,0.043200485000852495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
