method,task_id,seed,flow_step,t,lambda_pov,raw_velocity_norm,endpoint_constraint_violation_before_projection,endpoint_goal_error,endpoint_min_clearance,projection_called,projection_solver_success,projection_solver_status,projection_solver_iterations,projection_runtime_sec,projection_total_runtime_sec,correction_norm,normalized_correction_norm,velocity_change_norm,goal_error_before_projection,goal_error_after_projection,min_clearance_before_projection,min_clearance_after_projection,violation_before_projection,violation_after_projection,projection_error,projection_active,terminal_step,eta,raw_tracking_weight
PLAIN_FM,2,28,5,0.7142857142857143,0.0,15.680956840515137,0.7746763643264769,0.40572648376410037,0.07506392808062266,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,
PLAIN_FM,2,28,6,0.8571428571428571,0.0,15.679884910583496,0.60720966424942,0.39615475121121463,0.08012475142715784,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,
POV_L05_ALWAYS,2,28,0,0.0,0.5,15.579248428344727,13.572790783309937,0.43259497188445517,0.06526582349394358,1.0,1.0,0.0,2,0.020662048016674817,0.18666297104209661,3.207912523794695,3.2079124450683594,1.6039562225341797,0.43259497188445517,0.4970147683599971,0.06526582349394358,0.0662451152984468,13.572790783309937,0.0,,1.0,0.0,,
POV_L05_ALWAYS,2,28,1,0.14285714285714285,0.5,15.621611595153809,10.450689953231812,0.43609188212862904,0.061872976623097264,1.0,1.0,0.0,2,0.020514044968876988,0.18609780701808631,4.28810722426837,5.002791881561279,2.5013957023620605,0.43609188212862904,0.32409898050786295,0.061872976623097264,-0.07264025389554116,10.450689953231812,0.07264025389554116,,1.0,0.0,,
POV_L05_ALWAYS,2,28,2,0.2857142857142857,0.5,15.639738082885742,7.495199602508545,0.43400353821725973,0.06498502757758426,1.0,1.0,0.0,3,0.028222000051755458,0.2756499369861558,3.1718399018033074,4.44057559967041,2.220287799835205,0.43400353821725973,0.3837144943828294,0.06498502757758426,0.0376885694783457,7.495199602508545,0.0,,1.0,0.0,,
POV_L05_ALWAYS,2,28,3,0.42857142857142855,0.5,15.696309089660645,5.621732473373413,0.42739657902278705,0.06739422164541399,1.0,1.0,0.0,2,0.02070800104411319,0.1860872060060501,2.554154265653905,4.4697699546813965,2.2348849773406982,0.42739657902278705,0.4035626574852601,0.06739422164541399,0.016561881729357873,5.621732473373413,0.0,,1.0,0.0,,
POV_L05_ALWAYS,2,28,4,0.5714285714285714,0.5,15.818306922912598,3.968668144607544,0.41667819533303896,0.07000663341106515,1.0,1.0,0.0,2,0.020598187984433025,0.18546567199518904,4.2239141854796385,9.855799674987793,4.9278998374938965,0.41667819533303896,0.7314802679654427,0.07000663341106515,0.08144666680615933,3.968668144607544,0.0,,1.0,0.0,,
POV_L05_ALWAYS,2,28,5,0.7142857142857143,0.5,16.671504974365234,2.035323542022705,0.40596230511713177,0.07362203097324783,1.0,1.0,0.0,1,0.01053110498469323,0.09298682701773942,3.3701913188429873,11.795670509338379,5.897834777832031,0.40596230511713177,0.3367304312381615,0.07362203097324783,0.01972564748152726,2.035323542022705,0.0,,1.0,0.0,,
POV_L05_ALWAYS,2,28,6,0.8571428571428571,0.5,18.04847526550293,1.9694881257057189,0.39230137915589175,0.07635719365970521,1.0,1.0,0.0,1,0.010740700003225356,0.09497366799041629,2.9669820398292632,20.76887321472168,10.38443660736084,0.39230137915589175,0.3706950505723646,0.07635719365970521,0.024653577328126494,1.9694881257057189,0.0,,1.0,0.0,,
YFLOW_MAIN_PORT,2,28,0,0.0,,15.579248428344727,13.572790783309937,0.43259497188445517,0.06526582349394358,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.14285714285714285,0.0
YFLOW_MAIN_PORT,2,28,1,0.14285714285714285,,15.528302192687988,10.764255088233948,0.4364685589425348,0.06180082273416085,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.16666666666666666,0.0
YFLOW_MAIN_PORT,2,28,2,0.2857142857142857,,15.549814224243164,6.900344055557251,0.4357356212124554,0.06465809460400741,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.19999999999999998,0.0
YFLOW_MAIN_PORT,2,28,3,0.42857142857142855,,15.564862251281738,5.166760843658447,0.42907931916255326,0.06774442441485516,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.25,0.0
YFLOW_MAIN_PORT,2,28,4,0.5714285714285714,,15.60065746307373,3.063867252731323,0.417873272153035,0.07076103176853253,1.0,1.0,0.0,2,0.02061430807225406,0.18565914599457756,3.1355351201867676,7.316248416900635,7.316248416900635,0.417873272153035,0.8658145126418179,0.07076103176853253,0.01712783109591661,3.063867252731323,0.0,,1.0,0.0,0.3333333333333333,22.857142857142854
YFLOW_MAIN_PORT,2,28,5,0.7142857142857143,,16.742862701416016,1.3169483956336974,0.4137831592842297,0.07183156490234009,1.0,1.0,0.0,2,0.017665015009697527,0.1827138319495134,0.9375025409114902,3.281259059906006,3.281259059906006,0.4137831592842297,0.32715300648292617,0.07183156490234009,0.05618631380790669,1.3169483956336974,0.004842461658282726,,1.0,0.0,0.5,35.714285714285715
YFLOW_MAIN_PORT,2,28,6,0.8571428571428571,,16.70551109313965,0.3273083385467528,0.4002047142804944,0.07116837690739321,1.0,1.0,0.0,1,0.010573895007837564,0.09311575104948133,0.9126439201398869,6.38850736618042,6.38850736618042,0.4002047142804944,0.34870399429806836,0.07116837690739321,0.06214099820263931,0.3273083385467528,0.0,,1.0,1.0,1.0,51.42857142857142
GOAL_AWARE_FINAL_PROJECTION,2,28,0,0.0,0.0,15.579248428344727,13.572790783309937,0.43259497188445517,0.06526582349394358,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,
GOAL_AWARE_FINAL_PROJECTION,2,28,1,0.14285714285714285,0.0,15.528302192687988,10.764255088233948,0.4364685492742922,0.06180080894211039,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,
GOAL_AWARE_FINAL_PROJECTION,2,28,2,0.2857142857142857,0.0,15.549814224243164,6.900350016021728,0.43573561615161566,0.06465808757945268,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,
