method,task_id,seed,flow_step,t,projection_target,velocity_norm,endpoint_total_violation,endpoint_min_clearance,endpoint_goal_error,projection_called,solver_success,solver_runtime_sec,projection_total_runtime_sec,projection_correction_norm,projection_objective,min_clearance_before_projection,min_clearance_after_projection,violation_before_projection,violation_after_projection,projection_error,solver_iterations,corridor_collision_count
PLAIN_FM,0,0,0,0.0,none,18.521711349487305,14.858668309116364,0.05759409375512976,0.45995284070968484,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,0,0,1,0.14285714285714285,none,18.458784103393555,12.181367438697816,0.0581863300731217,0.46808386114721884,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,0,0,2,0.2857142857142857,none,18.479833602905273,9.85798076953888,0.06054826297534378,0.46792016357285443,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,0,0,3,0.42857142857142855,none,18.47991180419922,7.733020645046234,0.06250954013200784,0.46563863092290675,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,0,0,4,0.5714285714285714,none,18.480724334716797,6.047917168998718,0.06449717460091177,0.4620365789341203,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,0,0,5,0.7142857142857143,none,18.489437103271484,4.237767618560791,0.06745704706052007,0.45864082238138,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
PLAIN_FM,0,0,6,0.8571428571428571,none,18.207656860351562,4.166937333011627,0.07128309431491557,0.4667795981086212,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,0,0,0,0.0,none,18.521711349487305,14.858668309116364,0.05759409375512976,0.45995284070968484,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,0,0,1,0.14285714285714285,none,18.458784103393555,12.181367438697816,0.0581863300731217,0.46808386114721884,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,0,0,2,0.2857142857142857,none,18.479833602905273,9.85798076953888,0.06054826297534378,0.46792016357285443,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,0,0,3,0.42857142857142855,none,18.47991180419922,7.733020645046234,0.06250954013200784,0.46563863092290675,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
FINAL_PROJECTION,0,0,4,0.5714285714285714,none,18.480724334716797,6.047917168998718,0.06449717460091177,0.4620365789341203,0.0,,0.0,0.0,0.0,0.0,,,,,,0,0
