method,metric,count,mean,median,std,ci95_low,ci95_high,numerator,denominator
PLAIN_FM,collision,800,0.38125,0.0,0.4859976127508235,0.3475,0.415,305,800
PLAIN_FM,min_clearance,800,0.04082106252286843,0.02973173336381054,0.08367805594240606,0.03534062966910987,0.04630404334060885,,
PLAIN_FM,terminal_goal_error,800,0.571037659729862,0.4573422665748137,0.27061499457556615,0.5521502295916044,0.5903878580964071,,
PLAIN_FM,trajectory_distortion_vs_plain,800,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,joint_path_length,800,2.522701946311272,2.525759561610463,0.754597306913885,2.468764140728636,2.5746730757862446,,
PLAIN_FM,smoothness,800,0.04067645013533563,0.04082554702899832,0.009676148052247244,0.04006924185233461,0.04136674124736182,,
PLAIN_FM,velocity_violation,800,0.14241699530735605,0.1592120097160339,0.12613396698211662,0.13395511080025355,0.15077426200540356,,
PLAIN_FM,acceleration_violation,800,0.8800790077075362,0.7495115324854851,0.896597134148724,0.8214904931851197,0.942799049494788,,
PLAIN_FM,planning_latency_sec,800,0.07393634215994098,0.07073170650983229,0.004626744755592656,0.07362397210249946,0.07424603775678225,,
PLAIN_FM,fm_latency_sec,800,0.04445132960732735,0.044397136953193694,0.00042978624075626896,0.04442218544498064,0.04448176656143551,,
PLAIN_FM,optimizer_latency_sec,800,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,projection_calls,800,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,failed_projection_solves,800,0.0,0.0,0.0,0.0,0.0,,
PLAIN_FM,projection_failure_rate,800,0.0,0.0,0.0,0.0,0.0,,
L1_REPLACE,collision,800,0.43875,0.0,0.49654469415311897,0.405,0.4725,351,800
L1_REPLACE,min_clearance,800,0.016924943221557024,0.0036638211416451516,0.058875837157783224,0.013085872251096737,0.021197291023621726,,
L1_REPLACE,terminal_goal_error,800,0.3811657425182702,0.38577478736870774,0.155216521279153,0.3700764478886088,0.3920186449353615,,
L1_REPLACE,trajectory_distortion_vs_plain,800,1.4032548814366095,1.374985694885254,0.4115289919882402,1.3751484961861025,1.4297532960117896,,
L1_REPLACE,joint_path_length,800,2.0470838867140935,2.078373166943104,0.5629720297169777,2.0069366322514717,2.0861282531819376,,
L1_REPLACE,smoothness,800,0.025229324973774867,0.024213766044768083,0.008237189026159043,0.024668316046846783,0.02579806839820375,,
