t,dt,delta,mean_abs_change_m,train_drop_prob
0.013000000000000001,0.001,1.0,0.005552804341661527,5.8877068128218133e-05
0.014,0.001,0.1,0.0005704103696792641,6.0066392358547654e-05
0.014,0.001,0.5,0.002720942596978679,6.0066392358547654e-05
0.014,0.001,1.0,0.005287715975755072,6.0066392358547654e-05
0.015,0.001,0.1,0.0004112513642877619,6.127973961660248e-05
0.015,0.001,0.5,0.0024668903492796462,6.127973961660248e-05
0.015,0.001,1.0,0.005601732402995899,6.127973961660248e-05
0.016,0.001,0.1,0.0002937275401321011,6.251759508076342e-05
0.016,0.001,0.5,0.0032449151376954047,6.251759508076342e-05
0.016,0.001,1.0,0.006303281372532499,6.251759508076342e-05
0.017,0.001,0.1,0.00026278777624640917,6.378045372580999e-05
0.017,0.001,0.5,0.003556153338052058,6.378045372580999e-05
0.017,0.001,1.0,0.006521848663490412,6.378045372580999e-05
0.018000000000000002,0.001,0.1,0.00037447597391708064,6.506882052062285e-05
0.018000000000000002,0.001,0.5,0.0032884925296150502,6.506882052062285e-05
0.018000000000000002,0.001,1.0,0.005432436791809811,6.506882052062285e-05
0.019,0.001,0.1,0.0007691089396021436,6.638321062987196e-05
0.019,0.001,0.5,0.0034174754002579133,6.638321062987196e-05
0.019,0.001,1.0,0.0049480303673304915,6.638321062987196e-05
0.02,0.001,0.1,0.0004258760715906756,6.772414961977023e-05
0.02,0.001,0.5,0.0032348852911661535,6.772414961977023e-05
0.02,0.001,1.0,0.00574012113781254,6.772414961977023e-05
0.021,0.001,0.1,0.0004971434056135317,6.909217366797592e-05
0.021,0.001,0.5,0.0034043060302880665,6.909217366797592e-05
0.021,0.001,1.0,0.005371672124943466,6.909217366797592e-05
0.022,0.001,0.1,0.0005606932739344239,7.048782977772531e-05
0.022,0.001,0.5,0.002372934185387761,7.048782977772531e-05
0.022,0.001,1.0,0.005387332176143636,7.048782977772531e-05
0.023,0.001,0.1,0.00035812958355898195,7.191167599628161e-05
0.023,0.001,0.5,0.0031351423055181113,7.191167599628161e-05
0.023,0.001,1.0,0.006013214376964504,7.191167599628161e-05
0.024,0.001,0.1,0.0006311113331676846,7.3364281637788e-05
0.024,0.001,0.5,0.0027395943935936903,7.3364281637788e-05
0.024,0.001,1.0,0.0053527637193828,7.3364281637788e-05
0.025,0.001,0.1,0.0006963742526497341,7.484622751061123e-05
0.025,0.001,0.5,0.002681839702702374,7.484622751061123e-05
0.025,0.001,1.0,0.005381109478266657,7.484622751061123e-05
0.026000000000000002,0.001,0.1,0.00048067116224050944,7.635810614926763e-05
0.026000000000000002,0.001,0.5,0.0027215933727332137,7.635810614926763e-05
0.026000000000000002,0.001,1.0,0.006839571418861268,7.635810614926763e-05
0.027,0.001,0.1,0.0009447948455196514,7.790052205102338e-05
0.027,0.001,0.5,0.002948312210079955,7.790052205102338e-05
0.027,0.001,1.0,0.005734966308809514,7.790052205102338e-05
0.028,0.001,0.1,0.0012086255099386968,7.9474091917262e-05
0.028,0.001,0.5,0.0028581554606632933,7.9474091917262e-05
0.028,0.001,1.0,0.006340947919642598,7.9474091917262e-05
0.029,0.001,0.1,0.00043746884338015466,8.107944489971729e-05
0.029,0.001,0.5,0.003326902110163052,8.107944489971729e-05
0.029,0.001,1.0,0.006329788054602395,8.107944489971729e-05
0.03,0.001,0.1,0.0004842093756024556,8.271722285166654e-05
0.03,0.001,0.5,0.0029355889363934587,8.271722285166654e-05
0.03,0.001,1.0,0.005928376531592547,8.271722285166654e-05
0.031,0.001,0.1,0.000918416260757126,8.438808058418522e-05
0.031,0.001,0.5,0.003146377302563931,8.438808058418522e-05
0.031,0.001,1.0,0.006207505191048665,8.438808058418522e-05
0.032,0.001,0.1,0.0010611536747297604,8.609268612756602e-05
0.032,0.001,0.5,0.0024910947325744795,8.609268612756602e-05
0.032,0.001,1.0,0.006113115637021438,8.609268612756602e-05
0.033,0.001,0.1,0.000574950124441454,8.783172099800335e-05
0.033,0.001,0.5,0.003946681492851198,8.783172099800335e-05
0.033,0.001,1.0,0.006037938883665869,8.783172099800335e-05
0.034,0.001,0.1,0.0005398108232647792,8.960588046965119e-05
0.034,0.001,0.5,0.003535940894996842,8.960588046965119e-05
0.034,0.001,1.0,0.006044546633071635,8.960588046965119e-05
0.035,0.001,0.1,0.0004068149850884476,9.14158738521616e-05
0.035,0.001,0.5,0.0033090309129887516,9.14158738521616e-05
0.035,0.001,1.0,0.006123733557227007,9.14158738521616e-05
0.036000000000000004,0.001,0.1,0.0004190574968051782,9.326242477381309e-05
0.036000000000000004,0.001,0.5,0.0033007860040341203,9.326242477381309e-05
0.036000000000000004,0.001,1.0,0.005242819630427997,9.326242477381309e-05
0.037,0.001,0.1,0.0006406611773338445,9.514627147034364e-05
0.037,0.001,0.5,0.003490901467394364,9.514627147034364e-05
0.037,0.001,1.0,0.005546423645596266,9.514627147034364e-05
0.038,0.001,0.1,0.00040077189966239695,9.706816707959963e-05
0.038,0.001,0.5,0.0032021978967518294,9.706816707959963e-05
0.038,0.001,1.0,0.005475385229403024,9.706816707959963e-05
0.039,0.001,0.1,0.0004765183925513686,9.90288799421198e-05
0.039,0.001,0.5,0.0022945239935845754,9.90288799421198e-05
0.039,0.001,1.0,0.006016453892265516,9.90288799421198e-05
0.04,0.001,0.1,0.000441391314136637,0.00010102919390777272
0.04,0.001,0.5,0.0036866294573065575,0.00010102919390777272
0.04,0.001,1.0,0.005971809460133745,0.00010102919390777272
0.041,0.001,0.1,0.0004905374516417241,0.00010306990864856932
0.041,0.001,0.5,0.0034901112002323417,0.00010306990864856932
0.041,0.001,1.0,0.005335136425006146,0.00010306990864856932
0.042,0.001,0.1,0.0006238268432701491,0.00010515183997777359
0.042,0.001,0.5,0.0028964139485382345,0.00010515183997777359
0.042,0.001,1.0,0.005492821931559547,0.00010515183997777359
0.043000000000000003,0.001,0.1,0.00046860608773741184,0.00010727582017544021
0.043000000000000003,0.001,0.5,0.003696651293438151,0.00010727582017544021
0.043000000000000003,0.001,1.0,0.0067455906713351915,0.00010727582017544021
0.044,0.001,0.1,0.0006145824990974168,0.00010944269832050514
0.044,0.001,0.5,0.0030811199074940593,0.00010944269832050514
0.044,0.001,1.0,0.005335162389743381,0.00010944269832050514
0.045,0.001,0.1,0.0004458597694541582,0.00011165334062956276
0.045,0.001,0.5,0.0035117878887352613,0.00011165334062956276
0.045,0.001,1.0,0.005964591263182342,0.00011165334062956276
0.046,0.001,0.1,0.0013177033710640336,0.00011390863080246191
0.046,0.001,0.5,0.003328389558141902,0.00011390863080246191
0.046,0.001,1.0,0.005728813218525974,0.00011390863080246191
0.047,0.001,0.1,0.0005852279825499084,0.00011620947037486085
0.047,0.001,0.5,0.00277217378574994,0.00011620947037486085
0.047,0.001,1.0,0.006340421995603279,0.00011620947037486085
0.048,0.001,0.1,0.000576117363679453,0.00011855677907787622
0.048,0.001,0.5,0.0026216111800378764,0.00011855677907787622
0.048,0.001,1.0,0.006020608250223158,0.00011855677907787622
0.049,0.001,0.1,0.0008176990450215436,0.00012095149520497219
0.049,0.001,0.5,0.0037324472745848755,0.00012095149520497219
0.049,0.001,1.0,0.005613140314142881,0.00012095149520497219
0.05,3.0400000017305473e-09,0.1,0.0009065940877519673,0.00012339457598623172
0.05,3.0400000017305473e-09,0.5,0.004031320735605366,0.00012339457598623172
0.05,3.0400000017305473e-09,1.0,0.006076007055541288,0.00012339457598623172
0.050000003040000005,9.423999999813581e-08,0.1,0.0005889586871486718,0.0001233945834876964
0.050000003040000005,9.423999999813581e-08,0.5,0.002527226597981609,0.0001233945834876964
0.050000003040000005,9.423999999813581e-08,1.0,0.005560520288150142,0.0001233945834876964
0.05000009728,6.414399999973841e-07,0.1,0.0006144276083909841,0.00012339481603332802
0.05000009728,6.414399999973841e-07,0.5,0.0028375262007092686,0.00012339481603332802
0.05000009728,6.414399999973841e-07,1.0,0.005995004257103101,0.00012339481603332802
0.05000073872,2.374240000005412e-06,0.1,0.0004623363287741943,0.00012339639885555948
0.05000073872,2.374240000005412e-06,0.5,0.002803403564011174,0.00012339639885555948
0.05000073872,2.374240000005412e-06,1.0,0.006536343063721084,0.00012339639885555948
0.050003112960000005,6.3870399999998995e-06,0.1,0.0005932701455776176,0.00012340225772491256
0.050003112960000005,6.3870399999998995e-06,0.5,0.0038350610210210676,0.00012340225772491256
0.050003112960000005,6.3870399999998995e-06,1.0,0.0052451525896906465,0.00012340225772491256
0.050009500000000005,1.4139039999999659e-05,0.1,0.000874297062113151,0.00012341802028927566
0.050009500000000005,1.4139039999999659e-05,0.5,0.0031988581133697916,0.00012341802028927566
0.050009500000000005,1.4139039999999659e-05,1.0,0.005353463109964499,0.00012341802028927566
0.050023639040000005,2.7454239999995245e-05,0.1,0.0005649624015550579,0.00012345292116166596
0.050023639040000005,2.7454239999995245e-05,0.5,0.0019757690017983137,0.00012345292116166596
0.050023639040000005,2.7454239999995245e-05,1.0,0.005684434510619951,0.00012345292116166596
0.05005109328,4.852144000000447e-05,0.1,0.0008617980105059177,0.0001235207175224731
0.05005109328,4.852144000000447e-05,0.5,0.0027081099399310637,0.0001235207175224731
0.05005109328,4.852144000000447e-05,1.0,0.005465552880609126,0.0001235207175224731
0.050099614720000005,7.989423999999606e-05,0.1,0.000540054000983327,0.00012364062893692576
0.050099614720000005,7.989423999999606e-05,0.5,0.0028885698356870965,0.00012364062893692576
0.050099614720000005,7.989423999999606e-05,1.0,0.006436505334404194,0.00012364062893692576
0.05017950896,0.00012449104000000072,0.1,0.0005483673781213859,0.00012383832585902507
0.05017950896,0.00012449104000000072,0.5,0.003634173230134888,0.00012383832585902507
0.05017950896,0.00012449104000000072,1.0,0.005498077857305425,0.00012383832585902507
0.050304,0.00018559504000000004,0.1,0.0003143171279011746,0.00012414700694051285
0.050304,0.00018559504000000004,0.5,0.0032457015377689025,0.00012414700694051285
0.050304,0.00018559504000000004,1.0,0.005865360114322565,0.00012414700694051285
0.05048959504,0.0002668542400000029,0.1,0.0007474652594619859,0.00012460862710668132
0.05048959504,0.0002668542400000029,0.5,0.003066223053836241,0.00012460862710668132
0.05048959504,0.0002668542400000029,1.0,0.005802712727786055,0.00012460862710668132
0.050756449280000004,0.00037228143999999685,0.1,0.001090175552609018,0.0001252753682467326
0.050756449280000004,0.00037228143999999685,0.5,0.003250845870388791,0.0001252753682467326
0.050756449280000004,0.00037228143999999685,1.0,0.005730910285388635,0.0001252753682467326
0.05112873072,0.0005062542400000036,0.1,0.0006303240353772079,0.00012621148507679036
0.05112873072,0.0005062542400000036,0.5,0.0029112773795023777,0.00012621148507679036
0.05112873072,0.0005062542400000036,1.0,0.005592401670827737,0.00012621148507679036
0.051634984960000005,0.0006735150399999959,0.1,0.0006060712444206674,0.00012749571463418715
0.051634984960000005,0.0006735150399999959,0.5,0.0025400832862221973,0.00012749571463418715
0.051634984960000005,0.0006735150399999959,1.0,0.00625625149922239,0.00012749571463418715
0.0523085,0.0008791710400000013,0.1,0.0005106229367995811,0.00012922451592612915
0.0523085,0.0008791710400000013,0.5,0.0027171130744570865,0.00012922451592612915
0.0523085,0.0008791710400000013,1.0,0.006379750285896435,0.00012922451592612915
0.05318767104,0.0011286942399999986,0.1,0.0006411056162935417,0.00013151651769763675
0.05318767104,0.0011286942399999986,0.5,0.0030563942959102586,0.00013151651769763675
0.05318767104,0.0011286942399999986,1.0,0.006114608885633074,0.00013151651769763675
0.05431636528,0.0014279214400000004,0.1,0.00042381446454868056,0.00013451871519600482
0.05431636528,0.0014279214400000004,0.5,0.003165047329739129,0.00013451871519600482
0.05431636528,0.0014279214400000004,1.0,0.005964841519053993,0.00013451871519600482
0.05574428672,0.0017830542399999982,0.1,0.00046798752621138827,0.0001384152005316262
0.05574428672,0.0017830542399999982,0.5,0.004307871980559971,0.0001384152005316262
0.05574428672,0.0017830542399999982,1.0,0.005775982859464179,0.0001384152005316262
0.05752734096,0.002200659040000004,0.1,0.0009468955032502276,0.00014343958373703823
0.05752734096,0.002200659040000004,0.5,0.0032167345587356608,0.00014343958373703823
0.05752734096,0.002200659040000004,1.0,0.006651622629957124,0.00014343958373703823
0.059728,0.002687667040000001,0.1,0.0004934770604166387,0.00014989284226277943
0.059728,0.002687667040000001,0.5,0.0024345891112765444,0.00014989284226277943
0.059728,0.002687667040000001,1.0,0.005617734415309869,0.00014989284226277943
0.062415667040000004,0.0032513742400000004,0.1,0.000564059643550067,0.00015816925866213245
0.062415667040000004,0.0032513742400000004,0.5,0.0033967538826205207,0.00015816925866213245
0.062415667040000004,0.0032513742400000004,1.0,0.005921977604967099,0.00015816925866213245
0.06566704128,0.0038994414399999983,0.1,0.0008637359052427081,0.00016879459723021762
0.06566704128,0.0038994414399999983,0.5,0.0033905209645810133,0.00016879459723021762
0.06566704128,0.0038994414399999983,1.0,0.006066195699513666,0.00016879459723021762
0.06956648272,0.004639894239999998,0.1,0.0005401291329889439,0.00018248312675029637
0.06956648272,0.004639894239999998,0.5,0.0034838821492813588,0.00018248312675029637
0.06956648272,0.004639894239999998,1.0,0.006348698669927932,0.00018248312675029637
0.07420637696,0.005481123039999994,0.1,0.0006131388320850754,0.0002002242228650354
0.07420637696,0.005481123039999994,0.5,0.0037286779681560203,0.0002002242228650354
0.07420637696,0.005481123039999994,1.0,0.00538488430910769,0.0002002242228650354
0.0796875,0.006431883040000003,0.1,0.0006627558566731605,0.0002234163601827719
0.0796875,0.006431883040000003,0.5,0.0030509897634767996,0.0002234163601827719
0.0796875,0.006431883040000003,1.0,0.00558577955795031,0.0002234163601827719
